check_id,record_id,severity,category,message,source_ids,created_at
q_0001,tsmc_n28_28hpm_hpc_generic_logic_001,review,review_required,missing_cpp_ch_and_reported_density;sram_bitcell_only_no_real_macro_density,src_teamvlsi_tsmc_nodes_2021,2026-05-29
q_0002,tsmc_n28_28hpm_hpc_generic_logic_001,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_teamvlsi_tsmc_nodes_2021,2026-05-29
q_0003,tsmc_n16_12_16ff_16ffc_12ffc_generic_hd_002,review,review_required,sram_bitcell_only_no_real_macro_density,src_teamvlsi_tsmc_nodes_2021,2026-05-29
q_0004,tsmc_n16_12_16ff_16ffc_12ffc_generic_hd_002,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_teamvlsi_tsmc_nodes_2021,2026-05-29
q_0005,tsmc_n7_n7_hd_6t_2_fin_h240g57_003,review,review_required,sram_bitcell_only_no_real_macro_density,src_teamvlsi_tsmc_nodes_2021,2026-05-29
q_0006,tsmc_n7_n7_hd_6t_2_fin_h240g57_003,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_teamvlsi_tsmc_nodes_2021,2026-05-29
q_0007,tsmc_n7_n7_hp_3_fin_h300g64_004,review,review_required,sram_bitcell_only_no_real_macro_density,src_angstronomics_tsmc_5nm_2022;src_teamvlsi_tsmc_nodes_2021,2026-05-29
q_0008,tsmc_n7_n7_hp_3_fin_h300g64_004,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_teamvlsi_tsmc_nodes_2021,2026-05-29
q_0009,tsmc_n7p_n7p_hd_assumed_n7_compatible_hd_geometry_005,review,review_required,sram_bitcell_only_no_real_macro_density,src_tsmc_official_n7_n6;src_angstronomics_tsmc_5nm_2022;src_teamvlsi_tsmc_nodes_2021,2026-05-29
q_0010,tsmc_n7p_n7p_hd_assumed_n7_compatible_hd_geometry_005,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_teamvlsi_tsmc_nodes_2021,2026-05-29
q_0011,tsmc_n7_n7_euv_hd_like_public_relative_only_006,review,review_required,missing_cpp_ch_and_reported_density,src_tsmc_official_n7_n6;src_teamvlsi_tsmc_nodes_2021,2026-05-29
q_0012,tsmc_n5_n5_hd_6t_h210g51_008,info,sram,Reported SRAM density differs substantially from bitcell ideal; this is expected when macro/array overhead is included.,src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
q_0013,tsmc_n5_n5_hp_h280g57_3_fin_class_009,review,review_required,low_sram_compare_confidence,src_angstronomics_tsmc_5nm_2022;src_semianalysis_tsmc_n3_2022;src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
q_0014,tsmc_n5_n5_hp_h280g57_3_fin_class_009,info,sram,Reported SRAM density differs substantially from bitcell ideal; this is expected when macro/array overhead is included.,src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
q_0015,tsmc_n5p_n5p_hd_n5_compatible_process_optimization_010,info,sram,Reported SRAM density differs substantially from bitcell ideal; this is expected when macro/array overhead is included.,src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
q_0016,tsmc_n4_n4_hd_h206g49_011,info,sram,Reported SRAM density differs substantially from bitcell ideal; this is expected when macro/array overhead is included.,src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
q_0017,tsmc_n4_n4_hp_h274g55_012,review,review_required,low_sram_compare_confidence,src_semianalysis_tsmc_n3_2022;src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
q_0018,tsmc_n4_n4_hp_h274g55_012,info,sram,Reported SRAM density differs substantially from bitcell ideal; this is expected when macro/array overhead is included.,src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
q_0019,tsmc_n4p_n4p_hd_assumed_n4_compatible_hd_geometry_013,info,sram,Reported SRAM density differs substantially from bitcell ideal; this is expected when macro/array overhead is included.,src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
q_0020,tsmc_n4x_n4x_hpc_hpc_beol_stack_optimized_library_not_public_014,review,review_required,missing_cpp_ch_and_reported_density,src_semianalysis_tsmc_n3_2022,2026-05-29
q_0021,tsmc_n4c_n4c_cost_optimized_cost_optimized_public_library_not_found_015,review,review_required,missing_cpp_ch_and_reported_density,src_tsmc_official_n7_n6;src_tomshardware_tsmc_n4c_2024;src_semianalysis_tsmc_n3_2022,2026-05-29
q_0022,tsmc_n3b_n3b_hd_initial_n3_hd_finfet_016,review,review_required,missing_cpp_ch_and_reported_density,src_semianalysis_tsmc_n3_2022;src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
q_0023,tsmc_n3b_n3b_hd_initial_n3_hd_finfet_016,info,sram,Reported SRAM density differs substantially from bitcell ideal; this is expected when macro/array overhead is included.,src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
q_0024,tsmc_n3e_n3e_2_1_finflex_5_5t_ulp_uhd_48nm_poly_017,info,sram,Reported SRAM density differs substantially from bitcell ideal; this is expected when macro/array overhead is included.,src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
q_0025,tsmc_n3e_n3e_2_2_finflex_6_5t_hp_uhd_48nm_poly_option_018,info,sram,Reported SRAM density differs substantially from bitcell ideal; this is expected when macro/array overhead is included.,src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
q_0026,tsmc_n3e_n3e_3_2_finflex_7_5t_uhp_hd_54nm_poly_019,info,sram,Reported SRAM density differs substantially from bitcell ideal; this is expected when macro/array overhead is included.,src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
q_0027,tsmc_n3p_n3p_finfet_ppa_optimized_library_not_public_020,review,review_required,sram_bitcell_only_no_real_macro_density,src_tsmc_finflex_2022;src_semianalysis_tsmc_n3_2022;src_tsmc_official_symposium_2023_n3p_n2;src_tomshardware_tsmc_n3p_2025,2026-05-29
q_0028,tsmc_n3p_n3p_finfet_ppa_optimized_library_not_public_020,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_semianalysis_tsmc_n3_2022,2026-05-29
q_0029,tsmc_n2p_n2p_nanosheet_extension_standard_cell_geometry_not_public_023,review,review_required,missing_cpp_ch_and_reported_density,src_tsmc_official_n2;src_tsmc_official_symposium_2023_n3p_n2,2026-05-29
q_0030,tsmc_a16_a16_nanosheet_super_power_rail_geometry_not_public_024,review,review_required,missing_cpp_ch_and_reported_density,src_tsmc_official_a16,2026-05-29
q_0031,intel_foundry_intel_14nm_14nm_14nm_7_67t_dense_logic_025,review,review_required,sram_bitcell_only_no_real_macro_density,src_semiwiki_intel_14_10_2016,2026-05-29
q_0032,intel_foundry_intel_14nm_14nm_14nm_7_67t_dense_logic_025,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_semiwiki_intel_14_10_2016,2026-05-29
q_0033,intel_foundry_intel_10nm_intel_10nm_hd_h272g54_class_026,review,review_required,sram_bitcell_only_no_real_macro_density,src_semiwiki_intel4_vlsi2022;src_semiwiki_intel_14_10_2016,2026-05-29
q_0034,intel_foundry_intel_10nm_intel_10nm_hd_h272g54_class_026,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_semiwiki_intel4_vlsi2022,2026-05-29
q_0035,intel_foundry_intel_4_intel_4_hp_h240g50_029,info,sram,Reported SRAM density differs substantially from bitcell ideal; this is expected when macro/array overhead is included.,src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
q_0036,intel_foundry_intel_3_intel_3_hp_h240g50_030,review,review_required,low_sram_compare_confidence,src_intel_official_foundry_process;src_tomshardware_intel_18a_vlsi2025;src_tomshardware_tsmc_n2_intel18a_sram_2024;src_semiwiki_intel4_vlsi2022,2026-05-29
q_0037,intel_foundry_intel_3_intel_3_hp_h240g50_030,info,sram,Reported SRAM density differs substantially from bitcell ideal; this is expected when macro/array overhead is included.,src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
q_0038,intel_foundry_intel_3_intel_3_hd_h210g50_031,review,review_required,low_sram_compare_confidence,src_tomshardware_intel_18a_vlsi2025;src_tomshardware_tsmc_n2_intel18a_sram_2024;src_semiwiki_intel4_vlsi2022,2026-05-29
q_0039,intel_foundry_intel_3_intel_3_hd_h210g50_031,info,sram,Reported SRAM density differs substantially from bitcell ideal; this is expected when macro/array overhead is included.,src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
q_0040,intel_foundry_intel_18a_18a_hp_180ch_hp_library_032,review,review_required,sram_bitcell_only_no_real_macro_density,src_intel_official_foundry_process;src_tomshardware_intel_18a_vlsi2025;src_wccftech_21848d98,2026-05-29
q_0041,intel_foundry_intel_18a_18a_hp_180ch_hp_library_032,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_wccftech_21848d98,2026-05-29
q_0042,intel_foundry_intel_18a_18a_hd_160ch_hd_library_033,review,review_required,calc_vs_reported_density_delta_23%,src_intel_official_foundry_process;src_tomshardware_intel_18a_vlsi2025;src_wccftech_21848d98;src_researchgate_intel_18a_sram_2026;src_tomshardware_2nm_compare_techinsights_2025,2026-05-29
q_0043,intel_foundry_intel_18a_18a_hd_160ch_hd_library_033,info,sram,Reported SRAM density differs substantially from bitcell ideal; this is expected when macro/array overhead is included.,src_researchgate_intel_18a_sram_2026,2026-05-29
q_0044,intel_foundry_intel_18a_p_18a_p_performance_extension_geometry_not_public_034,review,review_required,missing_cpp_ch_and_reported_density,src_intel_official_foundry_process;src_tomshardware_intel_18a_vlsi2025,2026-05-29
q_0045,intel_foundry_intel_14a_14a_14a_e_next_gen_ribbonfet_powervia_geometry_not_public_035,review,review_required,missing_cpp_ch_and_reported_density,src_intel_official_foundry_process;src_tomshardware_intel_18a_vlsi2025,2026-05-29
q_0046,samsung_foundry_14lpe_14lpp_14lpp_generic_logic_036,review,review_required,missing_cpp_ch_and_reported_density,src_samsung_official_logic_node;src_semiwiki_samsung_foundry_2019,2026-05-29
q_0047,samsung_foundry_7lpp_7lpp_public_table_6_75t_h243g54_037,review,review_required,sram_bitcell_only_no_real_macro_density,src_semiwiki_samsung_foundry_2019;src_techinsights_samsung_7lpp_exynos990;src_en_730c50c6,2026-05-29
q_0048,samsung_foundry_7lpp_7lpp_public_table_6_75t_h243g54_037,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_en_730c50c6,2026-05-29
q_0049,samsung_foundry_7lpp_7lpp_exynos_990_observed_3_3_fin_h270g54_038,review,review_required,sram_bitcell_only_no_real_macro_density,src_techinsights_samsung_7lpp_exynos990;src_en_730c50c6;src_semiwiki_samsung_foundry_2019,2026-05-29
q_0050,samsung_foundry_7lpp_7lpp_exynos_990_observed_3_3_fin_h270g54_038,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_en_730c50c6,2026-05-29
q_0051,samsung_foundry_7lpp_7lpp_snapdragon_765g_observed_2_2_fin_h243g54_039,review,review_required,sram_bitcell_only_no_real_macro_density,src_techinsights_samsung_7lpp_exynos990;src_en_730c50c6;src_semiwiki_samsung_foundry_2019,2026-05-29
q_0052,samsung_foundry_7lpp_7lpp_snapdragon_765g_observed_2_2_fin_h243g54_039,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_en_730c50c6,2026-05-29
q_0053,samsung_foundry_5lpe_5lpe_public_table_6t_h216g54_041,review,review_required,sram_bitcell_only_no_real_macro_density,src_semiwiki_samsung_foundry_2019;src_en_192e97c7,2026-05-29
q_0054,samsung_foundry_5lpe_5lpe_public_table_6t_h216g54_041,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_en_192e97c7,2026-05-29
q_0055,samsung_foundry_5lpp_5lpp_sf5_public_library_not_isolated_042,review,review_required,missing_cpp_ch_and_reported_density;sram_bitcell_only_no_real_macro_density,src_samsung_official_logic_node;src_en_192e97c7;src_semiwiki_samsung_foundry_2019,2026-05-29
q_0056,samsung_foundry_5lpp_5lpp_sf5_public_library_not_isolated_042,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_en_192e97c7,2026-05-29
q_0057,samsung_foundry_4lpe_sf4e_4lpe_public_table_6_25t_h200g54_043,review,review_required,sram_bitcell_only_no_real_macro_density,src_semiwiki_samsung_foundry_2019;src_en_205a336a,2026-05-29
q_0058,samsung_foundry_4lpe_sf4e_4lpe_public_table_6_25t_h200g54_043,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_en_205a336a,2026-05-29
q_0059,samsung_foundry_sf4_sf4_hdc_media_estimate_hdc_library_bitcell_estimate_044,review,review_required,sram_bitcell_only_no_real_macro_density,src_semiwiki_samsung_foundry_2019;src_kurnal_b1cde8c1,2026-05-29
q_0060,samsung_foundry_sf4_sf4_hdc_media_estimate_hdc_library_bitcell_estimate_044,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_kurnal_b1cde8c1,2026-05-29
q_0061,samsung_foundry_sf4p_sf4p_public_geometry_not_isolated_045,review,review_required,missing_cpp_ch_and_reported_density,src_semiconductor_b166fee5;src_semiwiki_samsung_foundry_2019,2026-05-29
q_0062,samsung_foundry_sf4x_sf4x_hpc_beol_optimized_geometry_not_public_046,review,review_required,missing_cpp_ch_and_reported_density,src_semiconductor_b166fee5;src_semiwiki_samsung_foundry_2019,2026-05-29
q_0063,samsung_foundry_sf3_3gap_sf3_2nd_gen_mbcfet_public_geometry_not_disclosed_048,review,review_required,sram_bitcell_only_no_real_macro_density,src_news_c4a2d7c0;src_semiconductor_ab45e548;src_techinsights_b80be684;src_kurnal_b1cde8c1;src_samsung_official_logic_node_2026_update;src_wikipedia_3nm_process_2026,2026-05-29
q_0064,samsung_foundry_sf3_3gap_sf3_2nd_gen_mbcfet_public_geometry_not_disclosed_048,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_techinsights_b80be684,2026-05-29
q_0065,samsung_foundry_sf2p_sf2p_hpc_extension_geometry_not_public_050,review,review_required,missing_cpp_ch_and_reported_density,src_semiconductor_b166fee5;src_samsung_official_logic_node_2026_update,2026-05-29
q_0066,globalfoundries_14lpp_14lpp_std_cell_9t_051,review,review_required,sram_bitcell_only_no_real_macro_density,src_semiwiki_3fcc35af;src_en_a64bcb25;src_gf_official_12lp_2018,2026-05-29
q_0067,globalfoundries_14lpp_14lpp_std_cell_9t_051,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_en_a64bcb25,2026-05-29
q_0068,globalfoundries_14lpp_14lpp_std_cell_10_5t_052,review,review_required,sram_bitcell_only_no_real_macro_density;low_geometry_confidence,src_semiwiki_3fcc35af;src_en_a64bcb25;src_gf_official_12lp_2018,2026-05-29
q_0069,globalfoundries_14lpp_14lpp_std_cell_10_5t_052,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_en_a64bcb25,2026-05-29
q_0070,globalfoundries_12lp_12lp_autopro150_logic_cpp_84_ch_not_public_054,review,review_required,missing_cpp_ch_and_reported_density,src_gf_313df65e;src_gf_official_12lp_2018,2026-05-29
q_0071,globalfoundries_22fdx_22fdx_sc8t_104cpp_gf22fdx_sc8t_104cpp_base_055,review,review_required,sram_bitcell_only_no_real_macro_density,src_gf_1de18a3f;src_vlsi2017_gf22fdx_sram;src_unipd_gf22fdx_pdk_thesis,2026-05-29
q_0072,globalfoundries_22fdx_22fdx_sc8t_104cpp_gf22fdx_sc8t_104cpp_base_055,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_vlsi2017_gf22fdx_sram,2026-05-29
q_0073,globalfoundries_22fdx_22fdx_12t_104cpp_12t_high_speed_library_056,review,review_required,sram_bitcell_only_no_real_macro_density,src_gf_1de18a3f;src_vlsi2017_gf22fdx_sram;src_unipd_gf22fdx_pdk_thesis;src_upc_gf22fdx_thesis,2026-05-29
q_0074,globalfoundries_22fdx_22fdx_12t_104cpp_12t_high_speed_library_056,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_vlsi2017_gf22fdx_sram,2026-05-29
q_0075,globalfoundries_22fdx_22fdx_ulp_ref_flow_7_5t_116cpp_physical_setup_057,review,review_required,sram_bitcell_only_no_real_macro_density,src_gf_1de18a3f;src_vlsi2017_gf22fdx_sram;src_ims_45beb8a7;src_unipd_gf22fdx_pdk_thesis,2026-05-29
q_0076,globalfoundries_22fdx_22fdx_ulp_ref_flow_7_5t_116cpp_physical_setup_057,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_vlsi2017_gf22fdx_sram,2026-05-29
q_0077,globalfoundries_22fdx_racyics_rilib_gf22fdx_8t_116cpp_8t_cnrx_058,review,review_required,sram_bitcell_only_no_real_macro_density,src_gf_1de18a3f;src_vlsi2017_gf22fdx_sram;src_racyics_gf22fdx_cells_2025;src_unipd_gf22fdx_pdk_thesis,2026-05-29
q_0078,globalfoundries_22fdx_racyics_rilib_gf22fdx_8t_116cpp_8t_cnrx_058,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_vlsi2017_gf22fdx_sram,2026-05-29
q_0079,globalfoundries_22fdx_racyics_rilib_gf22fdx_9t_116cpp_9t_cnrx_automotive_059,review,review_required,sram_bitcell_only_no_real_macro_density,src_gf_1de18a3f;src_vlsi2017_gf22fdx_sram;src_racyics_gf22fdx_cells_2025;src_unipd_gf22fdx_pdk_thesis,2026-05-29
q_0080,globalfoundries_22fdx_racyics_rilib_gf22fdx_9t_116cpp_9t_cnrx_automotive_059,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_vlsi2017_gf22fdx_sram,2026-05-29
q_0081,umc_28nm_28hpm_hlp_hpc_faraday_7_track_minilib_060,review,review_required,missing_cpp_ch_and_reported_density,src_faraday_designreuse_umc28_2012;src_design_reuse_51599b56,2026-05-29
q_0082,umc_28nm_28hpm_hlp_hpc_faraday_d_r_9_track_generic_061,review,review_required,missing_cpp_ch_and_reported_density,src_faraday_designreuse_umc28_2012;src_design_reuse_51599b56,2026-05-29
q_0083,umc_28nm_28hpm_hlp_hpc_faraday_12_track_uhs_lib_062,review,review_required,missing_cpp_ch_and_reported_density,src_faraday_designreuse_umc28_2012;src_design_reuse_51599b56,2026-05-29
q_0084,umc_22nm_22ulp_22ull_synopsys_faraday_foundation_ip_063,review,review_required,missing_cpp_ch_and_reported_density,src_umc_8c5da999,2026-05-29
q_0085,umc_14nm_14nm_finfet_generic_foundation_ip_064,review,review_required,missing_cpp_ch_and_reported_density,src_umc_official_14nm,2026-05-29
q_0086,smic_14nm_14nm_generic_logic_065,review,review_required,missing_cpp_ch_and_reported_density,src_manual_unknown_prior_v03,2026-05-29
q_0087,smic_n_2_n_2_7nm_class_secondary_table_g63h250_secondary_table_forum_g63h252_conflict_note_067,review,review_required,sram_bitcell_only_no_real_macro_density;low_geometry_confidence,src_golem_smic_n3_2025;src_en_730c50c6;src_semiwiki_forum_smic_n3_2025,2026-05-29
q_0088,smic_n_2_n_2_7nm_class_secondary_table_g63h250_secondary_table_forum_g63h252_conflict_note_067,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_en_730c50c6,2026-05-29
q_0089,smic_n_3_n_3_kirin_9030_g57h228_6t_forum_lead_068,review,review_required,sram_bitcell_only_no_real_macro_density;low_geometry_confidence,src_techinsights_smic_n3_2025;src_golem_smic_n3_2025;src_en_192e97c7;src_semiwiki_forum_smic_n3_2025,2026-05-29
q_0090,smic_n_3_n_3_kirin_9030_g57h228_6t_forum_lead_068,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_en_192e97c7,2026-05-29
q_0091,smic_n_3_n_3_kirin_9030_secondary_table_n_3_069,review,review_required,sram_bitcell_only_no_real_macro_density;low_geometry_confidence,src_techinsights_smic_n3_2025;src_en_192e97c7;src_golem_smic_n3_2025,2026-05-29
q_0092,smic_n_3_n_3_kirin_9030_secondary_table_n_3_069,info,sram,SRAM bitcell exists but no comparable reported macro/array density; compact compare left blank to avoid ideal-density misuse.,src_en_192e97c7,2026-05-29
q_0093,umc_28nm_28hlp_hpc_hpm_d_r_ip_listing_7_track_9_track_12_track_product_entries_cpp_ch_not_070,review,review_required,missing_cpp_ch_and_reported_density,src_designreuse_umc_ip_search;src_faraday_designreuse_umc28_2012,2026-05-29
q_0094,smic_n_2_n_2_7nm_class_techinsights_confirmed_geometry_not_in_free_ti_page_measurement_cat_071,review,review_required,missing_cpp_ch_and_reported_density,src_semiwiki_techinsights_smic_n2_2022;src_techinsights_6b7047cb;src_golem_smic_n3_2025,2026-05-29
q_0095,tsmc_n4p_n4p_hp_assumed_n4_hp_geometry_071b,review,review_required,low_sram_compare_confidence,src_semianalysis_tsmc_n3_2022;src_tsmc_official_n4p_2021;src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
q_0096,tsmc_n4p_n4p_hp_assumed_n4_hp_geometry_071b,info,sram,Reported SRAM density differs substantially from bitcell ideal; this is expected when macro/array overhead is included.,src_tomshardware_tsmc_n2_intel18a_sram_2024,2026-05-29
