record_id,formula_version,cpp_cgp_nm,cell_height_nm,break_extra_cpp,sram_bitcell_um2,logic_density_calculated_mtr_mm2,sram_ideal_mb_mm2,sram_density_compare_mb_mm2,sram_density_compare_basis,calculation_inputs,assumption_note,is_estimated,review_required,review_reason,created_at,updated_at
samsung_foundry_14lpe_14lpp_14lpp_generic_logic_036,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": """"}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. No SRAM bitcell or comparable macro/array density found.,False,True,missing_cpp_ch_and_reported_density,2026-05-29,2026-05-29
samsung_foundry_7lpp_7lpp_public_table_6_75t_h243g54_037,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,54,243,0,0.0262,112.3064,38.1679,,,"{""cpp_cgp_nm"": 54.0, ""cell_height_nm"": 243.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.0262, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": ""SDB used for formula; source table labels DDB""}",Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM ideal density is audit-only; compact comparison left blank because no comparable macro/array density was found.,False,True,sram_bitcell_only_no_real_macro_density,2026-05-29,2026-05-29
samsung_foundry_7lpp_7lpp_exynos_990_observed_3_3_fin_h270g54_038,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,54,270,0,0.0262,101.0757,38.1679,,,"{""cpp_cgp_nm"": 54.0, ""cell_height_nm"": 270.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.0262, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": ""SA-DB/SDB approximation""}",Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM ideal density is audit-only; compact comparison left blank because no comparable macro/array density was found.,False,True,sram_bitcell_only_no_real_macro_density,2026-05-29,2026-05-29
samsung_foundry_7lpp_7lpp_snapdragon_765g_observed_2_2_fin_h243g54_039,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,54,243,0,0.0262,112.3064,38.1679,,,"{""cpp_cgp_nm"": 54.0, ""cell_height_nm"": 243.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.0262, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": ""SA-DB/SDB approximation""}",Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM ideal density is audit-only; compact comparison left blank because no comparable macro/array density was found.,False,True,sram_bitcell_only_no_real_macro_density,2026-05-29,2026-05-29
samsung_foundry_6lpp_6lpp_public_table_6_75t_h243g54_040,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,54,243,0,,112.3064,,,,"{""cpp_cgp_nm"": 54.0, ""cell_height_nm"": 243.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": ""SDB""}",Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. No SRAM bitcell or comparable macro/array density found.,False,False,,2026-05-29,2026-05-29
samsung_foundry_5lpe_5lpe_public_table_6t_h216g54_041,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,54,216,0,0.0262,126.3447,38.1679,,,"{""cpp_cgp_nm"": 54.0, ""cell_height_nm"": 216.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.0262, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": ""SDB""}",Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM ideal density is audit-only; compact comparison left blank because no comparable macro/array density was found.,False,True,sram_bitcell_only_no_real_macro_density,2026-05-29,2026-05-29
samsung_foundry_5lpp_5lpp_sf5_public_library_not_isolated_042,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,,,0,0.0262,,38.1679,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.0262, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": """"}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. SRAM ideal density is audit-only; compact comparison left blank because no comparable macro/array density was found.,False,True,missing_cpp_ch_and_reported_density;sram_bitcell_only_no_real_macro_density,2026-05-29,2026-05-29
samsung_foundry_4lpe_sf4e_4lpe_public_table_6_25t_h200g54_043,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,54,200,0,0.0262,136.4522,38.1679,,,"{""cpp_cgp_nm"": 54.0, ""cell_height_nm"": 200.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.0262, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": ""SDB""}",Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM ideal density is audit-only; compact comparison left blank because no comparable macro/array density was found.,False,True,sram_bitcell_only_no_real_macro_density,2026-05-29,2026-05-29
samsung_foundry_sf4_sf4_hdc_media_estimate_hdc_library_bitcell_estimate_044,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,54,200,0,0.023,136.4522,43.4783,,removed v0.4 low-confidence 29Mb/mm2 estimate from compact comparison; no public comparable SF4 SRAM macro density retained,"{""cpp_cgp_nm"": 54.0, ""cell_height_nm"": 200.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.023, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": ""SDB""}",Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM ideal density is audit-only; compact comparison left blank because no comparable macro/array density was found.,True,True,sram_bitcell_only_no_real_macro_density,2026-05-29,2026-05-29
samsung_foundry_sf4p_sf4p_public_geometry_not_isolated_045,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": """"}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. No SRAM bitcell or comparable macro/array density found.,False,True,missing_cpp_ch_and_reported_density,2026-05-29,2026-05-29
samsung_foundry_sf4x_sf4x_hpc_beol_optimized_geometry_not_public_046,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": """"}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. No SRAM bitcell or comparable macro/array density found.,False,True,missing_cpp_ch_and_reported_density,2026-05-29,2026-05-29
samsung_foundry_3gae_3gae_1st_gen_mbcfet_public_relative_only_047,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,,existing 4.57Mb/mm2 value excluded from compact comparison as non-comparable SRAM test/early metric; no public macro density retained,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": """"}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. No SRAM bitcell or comparable macro/array density found.,False,False,,2026-05-29,2026-05-29
samsung_foundry_sf3_3gap_sf3_2nd_gen_mbcfet_public_geometry_not_disclosed_048,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,,,0,0.02,,50,,no public comparable SF3 SRAM macro density found; prior 29Mb/mm2 estimate removed from compact compare,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.02, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": """"}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. SRAM ideal density is audit-only; compact comparison left blank because no comparable macro/array density was found.,True,True,sram_bitcell_only_no_real_macro_density,2026-05-29,2026-05-29
samsung_foundry_sf2_sf2_hd_xhd_xhd_lower_area_library_enabled_049,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,,no public comparable SF2 SRAM macro/array density found,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": """"}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. No SRAM bitcell or comparable macro/array density found.,True,False,,2026-05-29,2026-05-29
samsung_foundry_sf2p_sf2p_hpc_extension_geometry_not_public_050,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,,no public comparable SF2P SRAM macro/array density found,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": """"}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. No SRAM bitcell or comparable macro/array density found.,False,True,missing_cpp_ch_and_reported_density,2026-05-29,2026-05-29
globalfoundries_14lpp_14lpp_std_cell_9t_051,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,78,576,1,0.09,27.5997,11.1111,,,"{""cpp_cgp_nm"": 78.0, ""cell_height_nm"": 576.0, ""break_extra_cpp"": 1.0, ""sram_bitcell_um2"": 0.09, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": ""DDB / legacy assumption""}",Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM ideal density is audit-only; compact comparison left blank because no comparable macro/array density was found.,True,True,sram_bitcell_only_no_real_macro_density,2026-05-29,2026-05-29
globalfoundries_14lpp_14lpp_std_cell_10_5t_052,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,78,672,1,0.09,23.6569,11.1111,,,"{""cpp_cgp_nm"": 78.0, ""cell_height_nm"": 672.0, ""break_extra_cpp"": 1.0, ""sram_bitcell_um2"": 0.09, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": ""DDB / legacy assumption""}",Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM ideal density is audit-only; compact comparison left blank because no comparable macro/array density was found.,False,True,sram_bitcell_only_no_real_macro_density;low_geometry_confidence,2026-05-29,2026-05-29
globalfoundries_12lp_12lp_std_cell_7_5t_053,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,84,480,1,,30.754,,,,"{""cpp_cgp_nm"": 84.0, ""cell_height_nm"": 480.0, ""break_extra_cpp"": 1.0, ""sram_bitcell_um2"": null, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": ""DDB / legacy assumption""}",Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. No SRAM bitcell or comparable macro/array density found.,False,False,,2026-05-29,2026-05-29
globalfoundries_12lp_12lp_autopro150_logic_cpp_84_ch_not_public_054,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,84,,0,,,,,,"{""cpp_cgp_nm"": 84.0, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": """"}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. No SRAM bitcell or comparable macro/array density found.,False,True,missing_cpp_ch_and_reported_density,2026-05-29,2026-05-29
globalfoundries_22fdx_22fdx_sc8t_104cpp_gf22fdx_sc8t_104cpp_base_055,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,104,640,1,0.11,18.6298,9.0909,,,"{""cpp_cgp_nm"": 104.0, ""cell_height_nm"": 640.0, ""break_extra_cpp"": 1.0, ""sram_bitcell_um2"": 0.11, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": ""DDB / planar/legacy assumption""}",Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM ideal density is audit-only; compact comparison left blank because no comparable macro/array density was found.,False,True,sram_bitcell_only_no_real_macro_density,2026-05-29,2026-05-29
globalfoundries_22fdx_22fdx_12t_104cpp_12t_high_speed_library_056,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,104,960,1,0.124,12.4199,8.0645,,,"{""cpp_cgp_nm"": 104.0, ""cell_height_nm"": 960.0, ""break_extra_cpp"": 1.0, ""sram_bitcell_um2"": 0.124, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": ""DDB / planar/legacy assumption""}",Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM ideal density is audit-only; compact comparison left blank because no comparable macro/array density was found.,False,True,sram_bitcell_only_no_real_macro_density,2026-05-29,2026-05-29
globalfoundries_22fdx_22fdx_ulp_ref_flow_7_5t_116cpp_physical_setup_057,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,116,600,1,0.11,17.8161,9.0909,,,"{""cpp_cgp_nm"": 116.0, ""cell_height_nm"": 600.0, ""break_extra_cpp"": 1.0, ""sram_bitcell_um2"": 0.11, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": ""DDB / planar/legacy assumption""}",Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM ideal density is audit-only; compact comparison left blank because no comparable macro/array density was found.,False,True,sram_bitcell_only_no_real_macro_density,2026-05-29,2026-05-29
globalfoundries_22fdx_racyics_rilib_gf22fdx_8t_116cpp_8t_cnrx_058,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,116,640,1,0.11,16.7026,9.0909,,,"{""cpp_cgp_nm"": 116.0, ""cell_height_nm"": 640.0, ""break_extra_cpp"": 1.0, ""sram_bitcell_um2"": 0.11, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": ""DDB / planar/legacy assumption""}",Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM ideal density is audit-only; compact comparison left blank because no comparable macro/array density was found.,False,True,sram_bitcell_only_no_real_macro_density,2026-05-29,2026-05-29
globalfoundries_22fdx_racyics_rilib_gf22fdx_9t_116cpp_9t_cnrx_automotive_059,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,116,720,1,0.11,14.8467,9.0909,,,"{""cpp_cgp_nm"": 116.0, ""cell_height_nm"": 720.0, ""break_extra_cpp"": 1.0, ""sram_bitcell_um2"": 0.11, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": ""DDB / planar/legacy assumption""}",Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM ideal density is audit-only; compact comparison left blank because no comparable macro/array density was found.,False,True,sram_bitcell_only_no_real_macro_density,2026-05-29,2026-05-29
umc_28nm_28hpm_hlp_hpc_faraday_7_track_minilib_060,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": """"}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. No SRAM bitcell or comparable macro/array density found.,False,True,missing_cpp_ch_and_reported_density,2026-05-29,2026-05-29
umc_28nm_28hpm_hlp_hpc_faraday_d_r_9_track_generic_061,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": """"}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. No SRAM bitcell or comparable macro/array density found.,False,True,missing_cpp_ch_and_reported_density,2026-05-29,2026-05-29
umc_28nm_28hpm_hlp_hpc_faraday_12_track_uhs_lib_062,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": """"}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. No SRAM bitcell or comparable macro/array density found.,False,True,missing_cpp_ch_and_reported_density,2026-05-29,2026-05-29
umc_22nm_22ulp_22ull_synopsys_faraday_foundation_ip_063,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": """"}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. No SRAM bitcell or comparable macro/array density found.,False,True,missing_cpp_ch_and_reported_density,2026-05-29,2026-05-29
umc_14nm_14nm_finfet_generic_foundation_ip_064,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": """"}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. No SRAM bitcell or comparable macro/array density found.,False,True,missing_cpp_ch_and_reported_density,2026-05-29,2026-05-29
smic_14nm_14nm_generic_logic_065,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": """"}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. No SRAM bitcell or comparable macro/array density found.,False,True,missing_cpp_ch_and_reported_density,2026-05-29,2026-05-29
smic_n_1_n_1_early_7nm_class_hd_066,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": """"}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. No SRAM bitcell or comparable macro/array density found.,False,False,,2026-05-29,2026-05-29
smic_n_2_n_2_7nm_class_secondary_table_g63h250_secondary_table_forum_g63h252_conflict_note_067,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,63,250,0,0.0315,93.5673,31.746,,,"{""cpp_cgp_nm"": 63.0, ""cell_height_nm"": 250.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.0315, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": ""SDB/CPODE approximation""}",Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM ideal density is audit-only; compact comparison left blank because no comparable macro/array density was found.,False,True,sram_bitcell_only_no_real_macro_density;low_geometry_confidence,2026-05-29,2026-05-29
smic_n_3_n_3_kirin_9030_g57h228_6t_forum_lead_068,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,57,228,0,0.026,113.3952,38.4615,,,"{""cpp_cgp_nm"": 57.0, ""cell_height_nm"": 228.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.026, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": ""SDB/CPODE approximation""}",Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM ideal density is audit-only; compact comparison left blank because no comparable macro/array density was found.,False,True,sram_bitcell_only_no_real_macro_density;low_geometry_confidence,2026-05-29,2026-05-29
smic_n_3_n_3_kirin_9030_secondary_table_n_3_069,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,57,,0,0.026,,38.4615,,,"{""cpp_cgp_nm"": 57.0, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.026, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": """"}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. SRAM ideal density is audit-only; compact comparison left blank because no comparable macro/array density was found.,False,True,sram_bitcell_only_no_real_macro_density;low_geometry_confidence,2026-05-29,2026-05-29
umc_28nm_28hlp_hpc_hpm_d_r_ip_listing_7_track_9_track_12_track_product_entries_cpp_ch_not_070,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": """"}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. No SRAM bitcell or comparable macro/array density found.,True,True,missing_cpp_ch_and_reported_density,2026-05-29,2026-05-29
smic_n_2_n_2_7nm_class_techinsights_confirmed_geometry_not_in_free_ti_page_measurement_cat_071,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": """"}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. No SRAM bitcell or comparable macro/array density found.,False,True,missing_cpp_ch_and_reported_density,2026-05-29,2026-05-29
tsmc_n4p_n4p_hp_assumed_n4_hp_geometry_071b,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,55,274,0,0.025,97.7893,40,26.7,reported/compiled HP/HC SRAM density; not bitcell ideal,"{""cpp_cgp_nm"": 55.0, ""cell_height_nm"": 274.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.025, ""sram_density_compare_mb_mm2"": 26.7, ""diffusion_break_model"": ""SDB/CPODE""}","Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM comparison uses reported/compiled macro or array density, not 1/bitcell ideal.",True,True,low_sram_compare_confidence,2026-05-29,2026-05-29
