record_id,foundry,process_family,process_node_raw,process_node,process_node_normalized,variant_node,structure,release_timing_raw,library_class_raw,library_bucket,library_option_raw,cpp_cgp_nm,cell_height_nm,track_count,fin_or_nanosheet_configuration,diffusion_break_model,break_extra_cpp,logic_density_reported_mtr_mm2,density_basis_raw,density_basis_normalized,density_caveat,sram_bitcell_um2,sram_reported_mb_mm2,sram_type_raw,macro_overhead_assumption,m0_pitch_nm,m1_pitch_nm,m2_pitch_nm,m3_pitch_nm,mx_min_pitch_nm,metal_track_pitch_nm,metal_layers_raw,metal_stack_options_raw,euv_layer_count_raw,beol_source_id,beol_confidence,beol_confidence_bucket,power_performance_claim_raw,packaging_compatibility_raw,geometry_confidence,geometry_confidence_bucket,logic_density_confidence,logic_density_confidence_bucket,sram_confidence,sram_confidence_bucket,yield_confidence,yield_confidence_bucket,overall_confidence,overall_confidence_bucket,confidence_raw,source_id,geometry_source_id,sram_source_id,density_source_id,all_source_ids,geometry_source_level_raw,sram_source_level_raw,density_source_level_raw,beol_notes,notes,created_at,updated_at,sram_density_compare_mb_mm2,sram_density_compare_basis,sram_density_compare_source_id,sram_density_compare_confidence,v0_4_1_update_note,v0_4_2_update_note
tsmc_a16_a16_nanosheet_super_power_rail_geometry_not_public_024,TSMC,A16 family,A16,A16,A16,A16,Nanosheet GAA + backside power,"Public roadmap; HVM timing still evolving, no library geometry public",HPC/advanced,HPC,nanosheet + Super Power Rail; geometry not public,,,,nanosheet,,0,,,,No reliable public CPP+CH or reported logic density available.,,,,,,,,,,,,,,,0,missing,,,0,missing,0,missing,0,missing,0,missing,1,very_low,Low,src_tsmc_official_a16,src_tsmc_official_a16,,,src_tsmc_official_a16,Official roadmap only,,Not computed,,,2026-05-21,2026-05-21,,,,,,
tsmc_n16_12_16ff_16ffc_12ffc_generic_hd_002,TSMC,N16/N12 family,N16/12,N16/12,N16/12,16FF/16FFC/12FFC,FinFET,,FinFET mature,HD,generic / HD,90,,,,,0,28.9,million transistors per mm²,MTr/mm2,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.074,,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,,,,,64,,public compilation around 10 metal layers,,,src_teamvlsi_tsmc_nodes_2021,3,medium,,,3,medium,3,medium,3,medium,0,missing,3,medium,Medium,src_teamvlsi_tsmc_nodes_2021,src_teamvlsi_tsmc_nodes_2021,src_teamvlsi_tsmc_nodes_2021,src_teamvlsi_tsmc_nodes_2021,src_teamvlsi_tsmc_nodes_2021,Public media/aggregator,Public media/aggregator,Public media/aggregator,,,2026-05-21,2026-05-29,,,,,Corrected unrelated inherited N2 timing text from v0.4.,
tsmc_n2_n2_hd_h130g48_leaked_073,TSMC,N2 family,N2,N2,N2,N2 HD H130G48 leaked,GAA / nanosheet,N2 official volume production 4Q25; H130G48 geometry is media/forum leak,HD / H130G48 leaked,HD,HD / H130G48,48,130,,nanosheet; sheet stack/width not public,breakless/SDB-like formula assumption,0,236.17,Bohr-style HD standard-cell density from H130G48 leak,bohr_standard_cell_density,Low-confidence leak/social-media geometry; not official TSMC PDK. Added to allow HxG-comparable density instead of earlier 313 MTr/mm2 media claim.,0.021,38.1,HD SRAM / 2nm-CMOS-nanosheet,Use official reported density; do not use 1/bitcell ideal for comparison.,,,,,,,,,,,0,not-public,Official N2 claims full-node PPA vs N3E; this row only uses leaked HD geometry for density comparison.,TSMC advanced packaging ecosystem; not specific to this geometry row,2,low-leak/media,2,low-leak/media,5,high-official,0,not-collected,2,low,Geometry from media/forum leak; SRAM from TSMC Research official page; low overall for standard-cell geometry.,src_tsmc_official_n2,src_semiwiki_forum_2nm_leaked_density_2025,src_tsmc_research_n2_sram_2025,src_trendforce_rapidus_2hp_density_2025,src_tsmc_official_n2;src_tsmc_research_n2_sram_2025;src_trendforce_rapidus_2hp_density_2025;src_wccftech_rapidus_2hp_density_2025;src_semiwiki_forum_2nm_leaked_density_2025,social/forum + media aggregation,official/research,media aggregation/social leak,No reliable public BEOL pitch/metal stack for N2 HD row found.,v0.4.2 added as low-confidence H130G48 comparison row. Replaces prior use of 313 MTr/mm2 in compact table; 313 remains a conflicting media/TechInsights claim with unclear geometry basis.,2026-05-29,2026-05-29,38.1,"official TSMC Research reported SRAM density, not bitcell ideal",src_tsmc_research_n2_sram_2025,5,,new low-confidence N2 HD H130G48 CGP/CH comparison row added; official SRAM reused.
tsmc_n2_n2_1st_gen_nanosheet_standard_cell_geometry_not_public_022,TSMC,N2 family,N2,N2,N2,N2 official generic,Nanosheet GAA,volume production started/targeted 4Q25; first-generation TSMC nanosheet node,official generic / no public standard-cell geometry,generic/balanced,1st-gen nanosheet; official CPP/CH not public,,,,nanosheet,,0,,"official N2 page gives relative mixed-chip density, not absolute HD HxG density",relative_mixed_chip_density_only,The previous 313 MTr/mm2 value was a media/TechInsights HD-density claim and is not used in the CGP/CH comparable table. Use the separate N2 HD H130G48 leak row for Bohr-style comparison.,0.021,38.1,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,,,,,,,,,,,0,missing,,,0,not-public,0,not-public,5,official/high,0,missing,4,high,High for SRAM; Low for logic geometry,src_tsmc_official_n2,src_tsmc_official_n2,src_tsmc_research_n2_sram_2025,src_tomshardware_2nm_compare_techinsights_2025,src_tsmc_official_n2;src_tsmc_research_n2_sram_2025;src_tomshardware_2nm_compare_techinsights_2025,Official qualitative only,official/research,media/TechInsights summary,,v0.4.2 split generic official N2 row from leaked HD H130G48 row. Removed 313 MTr/mm2 from compact CGP/CH comparison because CPP/CH were not provided and basis conflicts with HxG formula; kept official SRAM 0.021um2 + 38.1Mb/mm2. N2 public standard-cell CPP/CH not available. TSMC Research gives 0.021um2 HD SRAM bitcell and 38.1Mb/mm2 macro/array density; v0.4.1 treats earlier 0.0175um2 media value as superseded/older rumor.,2026-05-21,2026-05-29,38.1,official reported SRAM macro/array density from TSMC Research; not 1/bitcell ideal,src_tsmc_research_n2_sram_2025,5,Updated N2 SRAM to official 0.021um2 + 38.1Mb/mm2; added TechInsights/Tom’s HD logic-density estimate for context.,split N2 official generic from N2 HD H130G48 comparison row; removed 313 from CGP/CH comparable row.
tsmc_n2p_n2p_nanosheet_extension_standard_cell_geometry_not_public_023,TSMC,N2 family,N2P,N2P,N2P,N2P,Nanosheet GAA,planned H2 2026 per official roadmap/media coverage,HD/HP TBD,HP,nanosheet extension; standard-cell geometry not public,,,,nanosheet,,0,,,,No reliable public CPP+CH or reported logic density available.,,,,,,,,,,,,,,,0,missing,N2P is a nanosheet extension; official public pages give roadmap/PPA context but not CPP/CH/SRAM macro density.,,0,missing,0,missing,0,missing,0,missing,1,very_low,Low,src_tsmc_official_n2,src_tsmc_official_n2,,src_tsmc_official_symposium_2023_n3p_n2,src_tsmc_official_n2;src_tsmc_official_symposium_2023_n3p_n2,Official roadmap only,,Not computed,,,2026-05-21,2026-05-29,,no public N2P SRAM macro density found; not inferred from N2,,,Kept N2P geometry/SRAM blank pending public data.,
tsmc_n28_28hpm_hpc_generic_logic_001,TSMC,N28 family,N28,N28,N28,28HPM/HPC,Planar CMOS,,Mature planar,generic/balanced,generic logic,117,,,,,0,,,,No reliable public CPP+CH or reported logic density available.,0.127,,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,,,,,90,,,,,src_teamvlsi_tsmc_nodes_2021,3,medium,,,3,medium,0,missing,3,medium,0,missing,3,medium,Medium,src_teamvlsi_tsmc_nodes_2021,src_teamvlsi_tsmc_nodes_2021,src_teamvlsi_tsmc_nodes_2021,,src_teamvlsi_tsmc_nodes_2021,Public media/aggregator,Public media/aggregator,Not computed,MMP from public compilation.,,2026-05-21,2026-05-29,,,,,Corrected unrelated inherited N2 timing text from v0.4.,
tsmc_n3b_n3b_hd_initial_n3_hd_finfet_016,TSMC,N3 family,N3B,N3B,N3B,N3B HD,FinFET,N3/N3E production era 2022-2024; FinFlex officially disclosed 2022,HD,HD,initial N3 HD; FinFET,45,,,,,0,,,,No reliable public CPP+CH or reported logic density available.,0.0199,33.55,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,,,,,23,,,,,src_semianalysis_tsmc_n3_2022,2,low,,,2,low,0,missing,3,medium,0,missing,2,low,Medium-Low,src_semianalysis_tsmc_n3_2022,src_semianalysis_tsmc_n3_2022,src_tomshardware_tsmc_n2_intel18a_sram_2024,,src_semianalysis_tsmc_n3_2022;src_tomshardware_tsmc_n2_intel18a_sram_2024,Media/conference analysis,media compilation,Not computed,N3 family public analysis/social leads; exact library-specific metal stack under NDA.,,2026-05-21,2026-05-29,33.55,reported/compiled SRAM macro-equivalent density; not bitcell ideal,src_tomshardware_tsmc_n2_intel18a_sram_2024,3,Added public compiled N3 SRAM density.,
tsmc_n3e_n3e_2_1_finflex_5_5t_ulp_uhd_48nm_poly_017,TSMC,N3 family,N3E,N3E,N3E,N3E 2-1 FinFlex,FinFET,N3/N3E production era 2022-2024; FinFlex officially disclosed 2022,UHD / lowest power,UHD,5.5T / ULP-UHD / 48nm poly,48,143,5.5,2-1 FinFlex,SDB/CPODE,0,215.6,million transistors per mm²,MTr/mm2,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.021,31.8,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,,,,,23,,,,,src_semianalysis_tsmc_n3_2022,2,low,,,3,medium,3,medium,3,medium,0,missing,3,medium,Medium,src_angstronomics_tsmc_5nm_2022,src_dolphin_tsmc_n3e_cells,src_tomshardware_tsmc_n2_intel18a_sram_2024,src_angstronomics_tsmc_5nm_2022,src_angstronomics_tsmc_5nm_2022;src_semianalysis_tsmc_n3_2022;src_dolphin_tsmc_n3e_cells;src_tomshardware_tsmc_n2_intel18a_sram_2024,Third-party IP + media/social analysis,media compilation,Formula/media analysis,N3 family public analysis/social leads; exact library-specific metal stack under NDA.,,2026-05-21,2026-05-29,31.8,reported/compiled N3E SRAM macro-equivalent density; not bitcell ideal,src_tomshardware_tsmc_n2_intel18a_sram_2024,3,SRAM compact comparison uses reported/compiled N3E density rather than 1/bitcell ideal.,
tsmc_n3e_n3e_2_2_finflex_6_5t_hp_uhd_48nm_poly_option_018,TSMC,N3 family,N3E,N3E,N3E,N3E 2-2 FinFlex,FinFET,N3/N3E production era 2022-2024; FinFlex officially disclosed 2022,Balanced,HP,6.5T / HP-UHD / 48nm poly option,48,169,6.5,2-2 FinFlex,SDB/CPODE,0,182.5,million transistors per mm²,MTr/mm2,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.021,31.8,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,,,,,23,,,,,src_semianalysis_tsmc_n3_2022,2,low,,,2,low,2,low,3,medium,0,missing,2,low,Medium-Low,src_angstronomics_tsmc_5nm_2022,src_dolphin_tsmc_n3e_cells,src_tomshardware_tsmc_n2_intel18a_sram_2024,src_angstronomics_tsmc_5nm_2022,src_angstronomics_tsmc_5nm_2022;src_semianalysis_tsmc_n3_2022;src_dolphin_tsmc_n3e_cells;src_tomshardware_tsmc_n2_intel18a_sram_2024,Third-party IP + derived analysis,media compilation,Formula / derived from H169g48,N3 family public analysis/social leads; exact library-specific metal stack under NDA.,,2026-05-21,2026-05-29,31.8,reported/compiled N3E SRAM macro-equivalent density; not bitcell ideal,src_tomshardware_tsmc_n2_intel18a_sram_2024,3,SRAM compact comparison uses reported/compiled N3E density rather than 1/bitcell ideal.,
tsmc_n3e_n3e_3_2_finflex_7_5t_uhp_hd_54nm_poly_019,TSMC,N3 family,N3E,N3E,N3E,N3E 3-2 FinFlex,FinFET,N3/N3E production era 2022-2024; FinFlex officially disclosed 2022,Highest performance,UHP,7.5T / UHP-HD / 54nm poly,54,221,7.5,3-2 FinFlex,SDB/CPODE,0,124,million transistors per mm²,MTr/mm2,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.021,31.8,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,,,,,23,,,,,src_semianalysis_tsmc_n3_2022,2,low,,,2,low,2,low,3,medium,0,missing,2,low,Low-Medium,src_angstronomics_tsmc_5nm_2022,src_dolphin_tsmc_n3e_cells,src_tomshardware_tsmc_n2_intel18a_sram_2024,src_angstronomics_tsmc_5nm_2022,src_angstronomics_tsmc_5nm_2022;src_semianalysis_tsmc_n3_2022;src_dolphin_tsmc_n3e_cells;src_tomshardware_tsmc_n2_intel18a_sram_2024,Third-party IP + social/forum/media leak,media compilation,Formula / forum-media cross-check,N3 family public analysis/social leads; exact library-specific metal stack under NDA.,,2026-05-21,2026-05-29,31.8,reported/compiled N3E SRAM macro-equivalent density; not bitcell ideal,src_tomshardware_tsmc_n2_intel18a_sram_2024,3,SRAM compact comparison uses reported/compiled N3E density rather than 1/bitcell ideal.,
tsmc_n3p_n3p_finfet_ppa_optimized_library_not_public_020,TSMC,N3 family,N3P,N3P,N3P,N3P,FinFET,scheduled H2 2024; media reports production began Q4 2024,HD/HP TBD,HP,FinFET PPA optimized; library not public,,,,,,0,224.6,,,224.6 MTr/mm2 is a normalized estimate from N3E reference density times official 1.04X chip-density claim; not a directly published CPP/CH-derived value.,0.021,,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,,,,,23,,,,,src_semianalysis_tsmc_n3_2022,2,low,"Official: N3P vs N3E +5% speed at same leakage, 5-10% power reduction at same speed, 1.04X chip density.",,0,missing,3,medium,1,very_low,0,missing,1,very_low,Low,src_tsmc_finflex_2022,src_tsmc_finflex_2022,src_semianalysis_tsmc_n3_2022,src_tsmc_official_symposium_2023_n3p_n2;src_tomshardware_tsmc_n3p_2025,src_tsmc_finflex_2022;src_semianalysis_tsmc_n3_2022;src_tsmc_official_symposium_2023_n3p_n2;src_tomshardware_tsmc_n3p_2025,Official qualitative only,Borrowed from N3E until public data,Not computed,N3 family public analysis/social leads; exact library-specific metal stack under NDA.,N3P exact public CPP/CH and SRAM macro density not found; keep geometry blank unless reliable reverse-engineering data emerges.,2026-05-21,2026-05-29,,no public N3P SRAM macro/array density found; do not reuse N3E unless explicitly modeling,,0,Added official N3P roadmap/density claim and Q4 2024 media-production note.,
tsmc_n3x_n3x_hpc_x_public_library_not_found_021,TSMC,N3 family,N3X,N3X,N3X,N3X,FinFET,scheduled for volume production in 2025,HPC/X,HPC,HPC/X; public library not found,,,,,,0,224.6,,,Density carried from official same-density-as-N3P statement; not a geometry-based standard-cell density.,,,,,,,,,23,,,,,src_semianalysis_tsmc_n3_2022,2,low,Official: N3X provides +5% speed vs N3P at 1.2V and the same improved chip density as N3P.,,0,missing,3,medium,0,missing,0,missing,1,very_low,Low,src_tsmc_finflex_2022,src_tsmc_finflex_2022,,src_tsmc_official_symposium_2023_n3p_n2,src_tsmc_finflex_2022;src_tsmc_official_symposium_2023_n3p_n2;src_semianalysis_tsmc_n3_2022,Official qualitative only,,Not computed,N3 family public analysis/social leads; exact library-specific metal stack under NDA.,,2026-05-21,2026-05-29,,,,,Added N3X official density/performance context.,
tsmc_n4_n4_hd_h206g49_011,TSMC,N5/N4 family,N4,N4,N4,N4 HD,FinFET,,HD,HD,H206g49,49,206,,,SDB/CPODE,0,146,million transistors per mm²,MTr/mm2,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.021,31.8,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,28,,35,,28,,,,,src_semianalysis_tsmc_n3_2022,3,medium,,,3,medium,3,medium,3,medium,0,missing,3,medium,Medium,src_semianalysis_tsmc_n3_2022,src_semianalysis_tsmc_n3_2022,src_tomshardware_tsmc_n2_intel18a_sram_2024,src_semianalysis_tsmc_n3_2022,src_semianalysis_tsmc_n3_2022;src_tomshardware_tsmc_n2_intel18a_sram_2024,Media analysis,media compilation,Formula/media analysis,M0/M2 from public analysis; N4X officially emphasizes optimized BEOL but exact stack not public.,,2026-05-21,2026-05-29,31.8,reported/compiled macro-equivalent SRAM density used for comparison; bitcell ideal kept only in derived_metrics,src_tomshardware_tsmc_n2_intel18a_sram_2024,3,SRAM compact comparison switched from bitcell ideal to reported/compiled macro-equivalent density.,
tsmc_n4_n4_hp_h274g55_012,TSMC,N5/N4 family,N4,N4,N4,N4 HP,FinFET,,HP,HP,H274g55,55,274,,,SDB/CPODE,0,94,million transistors per mm²,MTr/mm2,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.025,26.7,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,28,,35,,28,,,,,src_semianalysis_tsmc_n3_2022,3,medium,,,3,medium,3,medium,2,low,0,missing,3,medium,Medium,src_semianalysis_tsmc_n3_2022,src_semianalysis_tsmc_n3_2022,src_tomshardware_tsmc_n2_intel18a_sram_2024,src_semianalysis_tsmc_n3_2022,src_semianalysis_tsmc_n3_2022;src_tomshardware_tsmc_n2_intel18a_sram_2024,Media analysis,media compilation,Formula/media analysis,M0/M2 from public analysis; N4X officially emphasizes optimized BEOL but exact stack not public.,,2026-05-21,2026-05-29,26.7,reported/compiled HP/HC SRAM density; not bitcell ideal,src_tomshardware_tsmc_n2_intel18a_sram_2024,2,Uses low-confidence public compiled HP/HC SRAM density instead of ideal bitcell density.,
tsmc_n4c_n4c_cost_optimized_cost_optimized_public_library_not_found_015,TSMC,N5/N4 family,N4C,N4C,N4C,N4C cost-optimized,FinFET,risk/availability around 2025 per public media reports,Cost-optimized,cost-optimized,Cost-optimized; public library not found,,,,,,0,,,,No public CPP/CH or numeric SRAM macro density found; do not infer density without a source.,,,,,28,,35,,28,,,,,src_semianalysis_tsmc_n3_2022,3,medium,N4C lowers cost by reducing masks and redesigning standard-cell and SRAM-cell IP; up to 8.5% product-level cost reduction reported.,,0,missing,1,very_low,0,missing,0,missing,1,very_low,Low,src_tomshardware_tsmc_n4c_2024,src_tsmc_official_n7_n6,,src_tomshardware_tsmc_n4c_2024,src_tsmc_official_n7_n6;src_tomshardware_tsmc_n4c_2024;src_semianalysis_tsmc_n3_2022,Official qualitative only,,Not computed,M0/M2 from public analysis; N4X officially emphasizes optimized BEOL but exact stack not public.,,2026-05-21,2026-05-29,,,,,Added N4C source and cost/SRAM-redesign context; geometry and SRAM density intentionally left blank.,
