record_id,foundry,process_family,process_node_raw,process_node,process_node_normalized,variant_node,structure,release_timing_raw,library_class_raw,library_bucket,library_option_raw,cpp_cgp_nm,cell_height_nm,track_count,fin_or_nanosheet_configuration,diffusion_break_model,break_extra_cpp,logic_density_reported_mtr_mm2,density_basis_raw,density_basis_normalized,density_caveat,sram_bitcell_um2,sram_reported_mb_mm2,sram_type_raw,macro_overhead_assumption,m0_pitch_nm,m1_pitch_nm,m2_pitch_nm,m3_pitch_nm,mx_min_pitch_nm,metal_track_pitch_nm,metal_layers_raw,metal_stack_options_raw,euv_layer_count_raw,beol_source_id,beol_confidence,beol_confidence_bucket,power_performance_claim_raw,packaging_compatibility_raw,geometry_confidence,geometry_confidence_bucket,logic_density_confidence,logic_density_confidence_bucket,sram_confidence,sram_confidence_bucket,yield_confidence,yield_confidence_bucket,overall_confidence,overall_confidence_bucket,confidence_raw,source_id,geometry_source_id,sram_source_id,density_source_id,all_source_ids,geometry_source_level_raw,sram_source_level_raw,density_source_level_raw,beol_notes,notes,created_at,updated_at,sram_density_compare_mb_mm2,sram_density_compare_basis,sram_density_compare_source_id,sram_density_compare_confidence,v0_4_1_update_note,v0_4_2_update_note
globalfoundries_12lp_12lp_autopro150_logic_cpp_84_ch_not_public_054,GlobalFoundries,14/12 FinFET family,12LP+,12LP+,12LP+,12LP+ AutoPro150,FinFET,,Automotive/HPC,HPC,logic CPP 84; CH not public,84,,,,,0,,,,No reliable public CPP+CH or reported logic density available.,,,,,,,64,,64,,,,,src_gf_official_12lp_2018,4,high,,,3,medium,0,missing,0,missing,0,missing,3,medium,Medium for CPP; Low for density,src_gf_313df65e,src_gf_313df65e,,,src_gf_313df65e;src_gf_official_12lp_2018,Official for CPP only,Not found,Not computed; CH missing,GF official 12LP article says same 64nm M2 pitch as 14LPP.,Kept as partial geometry. Density not computed because CH/cell-height was not found in open sources.,2026-05-21,2026-05-21,,,,,,
globalfoundries_14lpp_14lpp_std_cell_10_5t_052,GlobalFoundries,14/12 FinFET family,14LPP,14LPP,14LPP,14LPP,FinFET,,HP,HP,Std Cell 10.5T,78,672,10.5,,DDB / legacy assumption,1,,,,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.09,,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,,,64,,64,,,,,src_gf_official_12lp_2018,4,high,,,1,very_low,1,very_low,1,very_low,0,missing,1,very_low,Low,src_semiwiki_3fcc35af,src_en_a64bcb25,src_en_a64bcb25,src_en_a64bcb25,src_semiwiki_3fcc35af;src_en_a64bcb25;src_gf_official_12lp_2018,Low-medium; official track option + secondary CPP/MMP,Low-medium; node-level secondary table,Formula; CH derived,GF official 12LP article says same 64nm M2 pitch as 14LPP.,Useful for HP vs HD comparison only; exact 10.5T routing pitch/site height should be verified against GF PDK.,2026-05-21,2026-05-21,,,,,,
globalfoundries_14lpp_14lpp_std_cell_9t_051,GlobalFoundries,14/12 FinFET family,14LPP,14LPP,14LPP,14LPP,FinFET,,HD/standard,HD,Std Cell 9T,78,576,9,,DDB / legacy assumption,1,,,,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.09,,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,,,64,,64,,,,,src_gf_official_12lp_2018,4,high,,,2,low,2,low,2,low,0,missing,2,low,Low-Medium,src_semiwiki_3fcc35af,src_en_a64bcb25,src_en_a64bcb25,src_en_a64bcb25,src_semiwiki_3fcc35af;src_en_a64bcb25;src_gf_official_12lp_2018,Low-medium; secondary table + official product brief,Low-medium; secondary table,Formula; CH derived from track*M2 pitch,GF official 12LP article says same 64nm M2 pitch as 14LPP.,"GF 14LPP IP overview explicitly lists Std Cell 9T/10.5T; CPP/M1/SRAM from secondary table. CH=9*64 is a derived estimate, not foundry PDK.",2026-05-21,2026-05-21,,,,,,
globalfoundries_22fdx_22fdx_12t_104cpp_12t_high_speed_library_056,GlobalFoundries,22FDX family,22FDX,22FDX,22FDX,22FDX 12T_104CPP,Planar FD-SOI,,HP / high-speed,HP,12T high-speed library,104,960,12,,DDB / planar/legacy assumption,1,,,,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.124,,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,,,,,,80,10M_2Mx_6Cx_2Ix_LB / 11 layer thesis notation,RF BEOL with ultra-thick metal options; M1/M2 coloring noted in thesis,,src_unipd_gf22fdx_pdk_thesis,3,medium,,,2,low,2,low,2,low,0,missing,2,low,Low-Medium,src_gf_1de18a3f,src_upc_gf22fdx_thesis,src_vlsi2017_gf22fdx_sram,src_unipd_gf22fdx_pdk_thesis,src_gf_1de18a3f;src_vlsi2017_gf22fdx_sram;src_unipd_gf22fdx_pdk_thesis;src_upc_gf22fdx_thesis,Academic thesis + derived CH,VLSI program high-current bitcell,Formula; CH derived from 80nm track grid,,"12T CH is derived from the 80nm horizontal pin grid, not directly quoted.",2026-05-21,2026-05-21,,,,,,
globalfoundries_22fdx_22fdx_sc8t_104cpp_gf22fdx_sc8t_104cpp_base_055,GlobalFoundries,22FDX family,22FDX,22FDX,22FDX,22FDX SC8T_104CPP,Planar FD-SOI,,HD / base,HD,GF22FDX_SC8T_104CPP_BASE,104,640,,,DDB / planar/legacy assumption,1,,,,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.11,,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,,,,,,80,10M_2Mx_6Cx_2Ix_LB / 11 layer thesis notation,RF BEOL with ultra-thick metal options; M1/M2 coloring noted in thesis,,src_unipd_gf22fdx_pdk_thesis,3,medium,,,3,medium,3,medium,3,medium,0,missing,3,medium,Medium,src_gf_1de18a3f,src_unipd_gf22fdx_pdk_thesis,src_vlsi2017_gf22fdx_sram,src_unipd_gf22fdx_pdk_thesis,src_gf_1de18a3f;src_vlsi2017_gf22fdx_sram;src_unipd_gf22fdx_pdk_thesis,Academic thesis citing GF 22FDX library,VLSI program / GF brief,Formula from published CPP/CH,,Best open GF 22FDX CPP+CH pair found. Thesis names exact library and table of physical specs.,2026-05-21,2026-05-21,,,,,,
globalfoundries_22fdx_22fdx_ulp_ref_flow_7_5t_116cpp_physical_setup_057,GlobalFoundries,22FDX family,22FDX,22FDX,22FDX,22FDX ULP ref flow,Planar FD-SOI,,ULP,HD,7.5T / 116CPP physical setup,116,600,7.5,,DDB / planar/legacy assumption,1,,,,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.11,,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,,,,,,80,10M_2Mx_6Cx_2Ix_LB / 11 layer thesis notation,RF BEOL with ultra-thick metal options; M1/M2 coloring noted in thesis,,src_unipd_gf22fdx_pdk_thesis,3,medium,,,2,low,2,low,2,low,0,missing,2,low,Low-Medium,src_gf_1de18a3f,src_ims_45beb8a7,src_vlsi2017_gf22fdx_sram,src_ims_45beb8a7,src_gf_1de18a3f;src_vlsi2017_gf22fdx_sram;src_ims_45beb8a7;src_unipd_gf22fdx_pdk_thesis,Official GF slide for 7.5T/116CPP; CH derived,VLSI program / GF brief node-level HD,Formula; CH derived,,"Slide provides track and CPP, not literal CH. Density uses 80nm track grid from the 8T_104CPP physical spec.",2026-05-21,2026-05-21,,,,,,
globalfoundries_22fdx_racyics_rilib_gf22fdx_8t_116cpp_8t_cnrx_058,GlobalFoundries,22FDX family,22FDX,22FDX,22FDX,Racyics rilib_gf22fdx_8t,Planar FD-SOI,,ULV / dense,HD,116CPP 8T CNRX,116,640,8,,DDB / planar/legacy assumption,1,,,,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.11,,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,,,,,,80,10M_2Mx_6Cx_2Ix_LB / 11 layer thesis notation,RF BEOL with ultra-thick metal options; M1/M2 coloring noted in thesis,,src_unipd_gf22fdx_pdk_thesis,3,medium,,,2,low,2,low,2,low,0,missing,2,low,Low-Medium,src_gf_1de18a3f,src_racyics_gf22fdx_cells_2025,src_vlsi2017_gf22fdx_sram,src_racyics_gf22fdx_cells_2025,src_gf_1de18a3f;src_vlsi2017_gf22fdx_sram;src_racyics_gf22fdx_cells_2025;src_unipd_gf22fdx_pdk_thesis,Third-party IP flyer + derived CH,VLSI program / GF brief node-level HD,Formula; CH derived,,Racyics provides CPP/track but not CH; CH derived using 22FDX 80nm grid.,2026-05-21,2026-05-21,,,,,,
globalfoundries_22fdx_racyics_rilib_gf22fdx_9t_116cpp_9t_cnrx_automotive_059,GlobalFoundries,22FDX family,22FDX,22FDX,22FDX,Racyics rilib_gf22fdx_9t,Planar FD-SOI,,Automotive / robust,generic/unspecified,116CPP 9T CNRX automotive,116,720,9,,DDB / planar/legacy assumption,1,,,,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.11,,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,,,,,,80,10M_2Mx_6Cx_2Ix_LB / 11 layer thesis notation,RF BEOL with ultra-thick metal options; M1/M2 coloring noted in thesis,,src_unipd_gf22fdx_pdk_thesis,3,medium,,,2,low,2,low,2,low,0,missing,2,low,Low-Medium,src_gf_1de18a3f,src_racyics_gf22fdx_cells_2025,src_vlsi2017_gf22fdx_sram,src_racyics_gf22fdx_cells_2025,src_gf_1de18a3f;src_vlsi2017_gf22fdx_sram;src_racyics_gf22fdx_cells_2025;src_unipd_gf22fdx_pdk_thesis,Third-party IP flyer + derived CH,VLSI program / GF brief node-level HD,Formula; CH derived,,"Automotive-grade library; SRAM value is node-level HD bitcell, not tied to this 9T library.",2026-05-21,2026-05-21,,,,,,
umc_14nm_14nm_finfet_generic_foundation_ip_064,UMC,14nm family,14nm,14nm,14nm,14nm FinFET,FinFET,,FinFET / mature,generic/balanced,generic foundation IP,,,,,,0,,,,No reliable public CPP+CH or reported logic density available.,,,,,,,,,,,,,,,0,missing,,,0,missing,0,missing,0,missing,0,missing,1,very_low,Low for density,src_umc_official_14nm,src_umc_official_14nm,,,src_umc_official_14nm,Official relative only,Not found,Not computed; CPP/CH missing,,No reliable public CPP+CH pair found; kept as explicit blank rather than inferring from other 14nm nodes.,2026-05-21,2026-05-21,,,,,,
umc_22nm_22ulp_22ull_synopsys_faraday_foundation_ip_063,UMC,22nm family,22nm,22nm,22nm,22ULP/22ULL,Planar HKMG,,Low-power / specialty,generic/unspecified,Synopsys/Faraday foundation IP,,,,,,0,,,,No reliable public CPP+CH or reported logic density available.,,,,,,,,,,,,,,,0,missing,,,0,missing,0,missing,0,missing,0,missing,1,very_low,Low for density,src_umc_8c5da999,src_umc_8c5da999,,,src_umc_8c5da999,Official relative only,Not found,Not computed; CPP/CH missing,,"UMC official info gives readiness/porting/relative area, but no public CGP or CH.",2026-05-21,2026-05-21,,,,,,
umc_28nm_28hlp_hpc_hpm_d_r_ip_listing_7_track_9_track_12_track_product_entries_cpp_ch_not_070,UMC,28nm family,28nm,28nm,28nm,28HLP/HPC/HPM D&R IP listing,Planar CMOS / HKMG,,Mature planar,generic/unspecified,7-track / 9-track / 12-track product entries; CPP/CH not public,,,7,,,0,,,,No reliable public CPP+CH or reported logic density available.,,,,,,,,,,,,,,src_faraday_designreuse_umc28_2012,1,very_low,,,3,medium,0,missing,0,missing,0,missing,3,medium,Medium for track; no density,src_designreuse_umc_ip_search,src_designreuse_umc_ip_search,,,src_designreuse_umc_ip_search;src_faraday_designreuse_umc28_2012,Third-party IP/aggregator,,Not computed,Track class known from third-party IP; exact metal pitch/CH not public in free source.,"D&R IP search results list UMC 28nm HLP/RVT 7-track, 9-track and 12-track libraries; exact CPP/CH gated or not public.",2026-05-21,2026-05-21,,,,,,
umc_28nm_28hpm_hlp_hpc_faraday_12_track_uhs_lib_062,UMC,28nm family,28nm,28nm,28nm,28HPM/HLP/HPC,Planar HKMG / SiON,,UHS / high-speed,generic/unspecified,Faraday 12-track UHS-Lib,,,12,,,0,,,,No reliable public CPP+CH or reported logic density available.,,,,,,,,,,,,,,src_faraday_designreuse_umc28_2012,1,very_low,,,3,medium,0,missing,0,missing,0,missing,3,medium,Medium for track; no density,src_faraday_designreuse_umc28_2012,src_faraday_designreuse_umc28_2012,,,src_faraday_designreuse_umc28_2012;src_design_reuse_51599b56,Third-party IP track info only,Not found,Not computed; CPP/CH missing,Track class known from third-party IP; exact metal pitch/CH not public in free source.,No credible CPP+CH pair found in public sources searched.,2026-05-21,2026-05-21,,,,,,
umc_28nm_28hpm_hlp_hpc_faraday_7_track_minilib_060,UMC,28nm family,28nm,28nm,28nm,28HPM/HLP/HPC,Planar HKMG / SiON,,MiniLib / area,HD,Faraday 7-track miniLib,,,7,,,0,,,,No reliable public CPP+CH or reported logic density available.,,,,,,,,,,,,,,src_faraday_designreuse_umc28_2012,1,very_low,,,3,medium,0,missing,0,missing,0,missing,3,medium,Medium for track; no density,src_faraday_designreuse_umc28_2012,src_faraday_designreuse_umc28_2012,,,src_faraday_designreuse_umc28_2012;src_design_reuse_51599b56,Third-party IP track info only,Not found,Not computed; CPP/CH missing,Track class known from third-party IP; exact metal pitch/CH not public in free source.,Faraday says miniLib reduces die size by about 20% while preserving routability; no CGP/CH in open page.,2026-05-21,2026-05-21,,,,,,
umc_28nm_28hpm_hlp_hpc_faraday_d_r_9_track_generic_061,UMC,28nm family,28nm,28nm,28nm,28HPM/HLP/HPC,Planar HKMG / SiON,,Generic / standard,generic/balanced,Faraday / D&R 9-track generic,,,9,,,0,,,,No reliable public CPP+CH or reported logic density available.,,,,,,,,,,,,,,src_faraday_designreuse_umc28_2012,1,very_low,,,3,medium,0,missing,0,missing,0,missing,3,medium,Medium for track; no density,src_faraday_designreuse_umc28_2012,src_faraday_designreuse_umc28_2012,,,src_faraday_designreuse_umc28_2012;src_design_reuse_51599b56,Third-party IP track info only,Not found,Not computed; CPP/CH missing,Track class known from third-party IP; exact metal pitch/CH not public in free source.,"Track count is included because it is relevant to CH, but without metal track pitch or site height no density is computed.",2026-05-21,2026-05-21,,,,,,
smic_14nm_14nm_generic_logic_065,SMIC,14/12 FinFET family,14nm,14nm,14nm,14nm,FinFET,,mature FinFET,generic/balanced,generic logic,,,,,,0,,,,No reliable public CPP+CH or reported logic density available.,,,,,,,,,,,,,,,0,missing,,,0,missing,0,missing,0,missing,0,missing,1,very_low,Low,src_manual_unknown_prior_v03,src_manual_unknown_prior_v03,,,src_manual_unknown_prior_v03,Not found,Not found,Not computed; CPP/CH missing,,Public sources mostly cover availability and relative claims; no usable CPP+CH found.,2026-05-21,2026-05-21,,,,,,
smic_n_1_n_1_early_7nm_class_hd_066,SMIC,N+ family,N+1,N+1,N+1,N+1 early 7nm-class,FinFET,,DUV multi-patterned FinFET,HD,HD?,,,,,,0,89,million transistors per mm²,MTr/mm2,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",,,,,,,,,,,,,,,0,missing,,,0,missing,1,very_low,0,missing,0,missing,1,very_low,Low,src_en_730c50c6,src_en_730c50c6,,src_en_730c50c6,src_en_730c50c6,Secondary table / public media only,Not found,Secondary reported density only,,No public CPP+CH pair; reported density from secondary 7nm-process table.,2026-05-21,2026-05-21,,,,,,
smic_n_2_n_2_7nm_class_techinsights_confirmed_geometry_not_in_free_ti_page_measurement_cat_071,SMIC,N+ family,N+2,N+2,N+2,N+2 / 7nm-class TechInsights-confirmed,FinFET,,HD,HD,geometry not in free TI page; measurement categories confirmed,,,,,,0,,,,No reliable public CPP+CH or reported logic density available.,,,,,42,42,42,,42,,,,,src_golem_smic_n3_2025,2,low,,,0,missing,0,missing,0,missing,0,missing,1,very_low,Medium for node confirmation; no free exact geometry,src_semiwiki_techinsights_smic_n2_2022,src_techinsights_6b7047cb,,,src_semiwiki_techinsights_smic_n2_2022;src_techinsights_6b7047cb;src_golem_smic_n3_2025,Teardown free summary,,Not computed,Secondary article quoting N+2 comparison table.,"TechInsights free summaries confirm Kirin 9000S/SMIC N+2 and that logic gate pitch, fin pitch and BEOL pitches were measured, but free article does not disclose exact values.",2026-05-21,2026-05-21,,,,,,
smic_n_2_n_2_7nm_class_secondary_table_g63h250_secondary_table_forum_g63h252_conflict_note_067,SMIC,N+ family,N+2,N+2,N+2,N+2 / 7nm-class secondary table,FinFET,,HD / inferred,HD,G63H250 secondary table; forum G63H252 conflict noted,63,250,,,SDB/CPODE approximation,0,93,million transistors per mm²,MTr/mm2,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.0315,,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,42,42,42,,42,,,,,src_golem_smic_n3_2025,2,low,,,1,very_low,1,very_low,1,very_low,0,missing,1,very_low,Low,src_golem_smic_n3_2025,src_golem_smic_n3_2025,src_en_730c50c6,src_golem_smic_n3_2025,src_golem_smic_n3_2025;src_en_730c50c6;src_semiwiki_forum_smic_n3_2025,Media quoting teardown + social/forum conflict,Secondary table,Forum quoted + formula,Secondary article quoting N+2 comparison table.,This is not directly visible in the free TechInsights article; marked social/forum-derived. Formula should land close to quoted 93 MTr/mm². v0.4 uses 250nm CH from secondary table; forum shorthand G63H252 is retained in note and low confidence.,2026-05-21,2026-05-21,,,,,,
smic_n_3_n_3_kirin_9030_g57h228_6t_forum_lead_068,SMIC,N+ family,N+3,N+3,N+3,N+3 / Kirin 9030,FinFET,,HD / inferred,HD,G57H228 6T forum lead,57,228,6,,SDB/CPODE approximation,0,120,million transistors per mm²,MTr/mm2,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.026,,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,30,38,38,,30,,,,,src_golem_smic_n3_2025,2,low,,,1,very_low,1,very_low,1,very_low,0,missing,1,very_low,Low,src_techinsights_smic_n3_2025,src_golem_smic_n3_2025,src_en_192e97c7,src_golem_smic_n3_2025,src_techinsights_smic_n3_2025;src_golem_smic_n3_2025;src_en_192e97c7;src_semiwiki_forum_smic_n3_2025,Media quoting teardown + social/forum lead,Secondary table,Media quoting teardown + social/forum lead,Secondary article quoting TechInsights-like table; paid primary measurements not free.,Forum-derived G57H228 gives about 113 MTr/mm² by the same formula; 5nm-process secondary table lists 120 MTr/mm². Both retained to show discrepancy.,2026-05-21,2026-05-21,,,,,,
smic_n_3_n_3_kirin_9030_secondary_table_n_3_069,SMIC,N+ family,N+3,N+3,N+3,N+3 / Kirin 9030,FinFET,,Reported density only,generic/unspecified,secondary table N+3,57,,,,,0,120,million transistors per mm²,MTr/mm2,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.026,,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,30,38,38,,30,,,,,src_golem_smic_n3_2025,2,low,,,1,very_low,1,very_low,1,very_low,0,missing,1,very_low,Low,src_techinsights_smic_n3_2025,src_en_192e97c7,src_en_192e97c7,src_en_192e97c7,src_techinsights_smic_n3_2025;src_en_192e97c7;src_golem_smic_n3_2025,Secondary table + TechInsights N+3 confirmation,Secondary table,Secondary table,Secondary article quoting TechInsights-like table; paid primary measurements not free.,Kept as separate row from G57H228 because CH is not in the secondary table.,2026-05-21,2026-05-21,,,,,,
rapidus_2hp_hd_h138g45_leaked_075,Rapidus,2HP family,2HP,2HP,Rapidus 2HP,2HP HD H138G45 leaked,GAA / nanosheet,"Official target: PDK Q1 2026, mass production 2027; H138G45 geometry is media/social leak",HD / H138G45 leaked,HD,HD / H138G45,45,138,,2nm GAA; sheet/ribbon geometry not public,breakless/SDB-like formula assumption,0,237.31,Bohr-style HD standard-cell density from H138G45 leak,bohr_standard_cell_density,Low-confidence media/social leak. G45 interpreted as CPP/CGP-like gate pitch and H138 as nm cell height for HxG comparison.,,,,No public Rapidus SRAM bitcell or macro density found.,,,,,,,,,EUV confirmed for 2nm GAA prototyping; layer count not public,src_rapidus_official_2nm_gaa_2025,1,architecture-only,Density report says Rapidus is comparable to TSMC N2 in HD density; official Rapidus positions single-wafer processing/short cycle-time rather than PPA details.,Rapidus mentions 3D packaging/cycle-time service context; specific 2HP package compatibility not public.,2,low-leak/media,2,low-leak/media,0,not-public,0,not-collected,2,low,Geometry/density from Wccftech/TrendForce citing X; timing/architecture from official Rapidus.,src_rapidus_official_2nm_gaa_2025,src_wccftech_rapidus_2hp_density_2025,,src_trendforce_rapidus_2hp_density_2025,src_rapidus_official_2nm_gaa_2025;src_wccftech_rapidus_2hp_density_2025;src_trendforce_rapidus_2hp_density_2025,media/social leak,not-public,media/social leak,Official Rapidus confirms EUV for 2nm GAA but not pitch/metal stack.,"v0.4.2 added Rapidus HD H138G45 comparison row. Treat as low-confidence leaked geometry, not official PDK.",2026-05-29,2026-05-29,,No public SRAM macro/array density found.,,0,,new low-confidence Rapidus 2HP HD H138G45 comparison row.
rapidus_2hp_official_2nm_gaa_generic_074,Rapidus,2HP family,2HP,2HP,Rapidus 2HP,2HP official generic,GAA / nanosheet,PDK to advance customers by Q1 2026; mass production target 2027,official generic / geometry not disclosed,generic/balanced,official 2nm GAA prototyping; no public CPP/CH,,,,2nm GAA transistors; sheet/ribbon geometry not public,,0,,official source does not disclose density,not_disclosed,"Official Rapidus source confirms process/prototyping/timeline, not library geometry.",,,,,,,,,,,,,,,0,not-public,Rapidus emphasizes fully single-wafer front-end processing and rapid cycle-time model; no official PPA geometry disclosed.,Rapidus mentions shortening cycle times in wafer processes and 3D packaging in corporate positioning.,0,not-public,0,not-public,0,not-public,0,not-collected,3,official-node-timing-only,Official timing/process-architecture information only; no public CPP/CH/SRAM.,src_rapidus_official_2nm_gaa_2025,,,,src_rapidus_official_2nm_gaa_2025,not-public,not-public,not-public,No public BEOL stack/pitch data found for Rapidus 2HP.,v0.4.2 added Rapidus official generic row. Do not use for density calculation.,2026-05-29,2026-05-29,,,,0,,"new official Rapidus 2HP row, no geometry."
