source_id,source_url,source_title,source_publisher,source_date,accessed_date,source_level,trust_rank_1_5,license_or_terms,source_quote_or_note
src_angstronomics_tsmc_5nm_2022,https://www.angstronomics.com/p/the-truth-of-tsmc-5nm,The Truth of TSMC 5nm,Angstronomics,2022-09,2026-05-21,media/teardown-analysis,4,Public web source; cite URL; do not reproduce large excerpts.,Explains H240g57/H210g51 notation and Bohr-style standard-cell logic density calculation.
src_design_reuse_51599b56,https://www.design-reuse.com/ip/view/FI_4674/umc-28nm-hpc-rvt-logic-and-mixed-mode-process-9-track-generic-core-cell-library-enhanced-for-routing-c40-/,UMC 28nm HPC RVT 9-track Generic Core Cell Library IP,Design & Reuse,accessed 2026,2026-05-21,third-party IP/aggregator,2,Public web source; cite URL; do not reproduce large excerpts.,Third-party IP page for UMC 28nm 9-track generic cell library; detailed datasheet is gated.
src_designreuse_umc_ip_search,https://www.design-reuse.com/ip/search?foundry=&geometry=&keywords=Sital+Technology+Ltd.&p=88&vendor=,D&R UMC standard-cell IP search results,Design & Reuse,accessed 2026,2026-05-21,third-party IP/aggregator,2,Public web source; cite URL; do not reproduce large excerpts.,"Lists UMC 28nm 7-track, 9-track, 12-track library products; full datasheets gated."
src_dolphin_tsmc_n3e_cells,https://dolphin-ic.com/products/standard-cell/tsmc_3e_cell.html,TSMC 3E Standard Cell,Dolphin Design,accessed 2026,2026-05-21,third-party IP,3,Public web source; cite URL; do not reproduce large excerpts.,Third-party standard-cell IP page listing N3E 5.5T / 6.5T / 7.5T library options.
src_en_192e97c7,https://en.wikipedia.org/wiki/5_nm_process,5 nm process,Wikipedia,accessed 2026,2026-05-21,aggregator,2,Public web source; cite URL; do not reproduce large excerpts.,Aggregator cross-check only; not used as a primary geometry source.
src_en_205a336a,https://en.wikipedia.org/wiki/4_nm_process,4 nm process,Wikipedia,accessed 2026,2026-05-21,aggregator,2,Public web source; cite URL; do not reproduce large excerpts.,Aggregator cross-check only; not used as a primary geometry source.
src_en_730c50c6,https://en.wikipedia.org/wiki/7_nm_process,7 nm process,Wikipedia,accessed 2026,2026-05-21,aggregator,2,Public web source; cite URL; do not reproduce large excerpts.,Aggregator cross-check only; not used as a primary geometry source.
src_en_a64bcb25,https://en.wikipedia.org/wiki/GlobalFoundries,GlobalFoundries,Wikipedia,accessed 2026,2026-05-21,aggregator,2,Public web source; cite URL; do not reproduce large excerpts.,Background/cross-check only.
src_faraday_designreuse_umc28_2012,https://www.design-reuse.com/news/202525174-faraday-delivers-a-complete-set-of-umc-28nm-cell-libraries-and-memory-compilers/,Faraday Delivers UMC 28nm Cell Libraries,Design & Reuse / Faraday,2012,2026-05-21,third-party IP/media,3,Public web source; cite URL; do not reproduce large excerpts.,"UMC 28nm Faraday 7-track, 9-track and 12-track standard-cell library classes; no public CPP/CH."
src_gf_1de18a3f,https://gf.com/resource/wearable-display-driver-using-5528hv-and-22fdx-1/,Wearable display driver using 55/28HV and 22FDX,GlobalFoundries,official resource,2026-05-21,official,5,Public web source; cite URL; do not reproduce large excerpts.,GF resource used as context for 22FDX/55-28HV display-driver platform; not a primary CGP/CH source.
src_gf_313df65e,https://gf.com/blog/driving-automotive-innovation-on-the-semiconductor-superhighway/,Driving Automotive Innovation on the Semiconductor Superhighway,GlobalFoundries,official blog,2026-05-21,official,5,Public web source; cite URL; do not reproduce large excerpts.,GF automotive blog context for AutoPro/12LP+ platform; exact standard-cell CH not disclosed.
src_gf_official_12lp_2018,https://gf.com/blog/gfs-12lp-process-behind-covers/,GF’s 12LP Process: Behind the Covers,GlobalFoundries,2018,2026-05-21,official,5,Public web source; cite URL; do not reproduce large excerpts.,"Official 12LP article: same patterning as 14LPP, 64nm M2, supports 7.5T and 9T libraries; 7.5T gives logic area scaling."
src_golem_smic_n3_2025,https://www.golem.de/news/kirin-9030-huaweis-neuer-prozessor-hat-einen-chip-mit-5-nm-klasse-2512-201741.html,Kirin 9030 / SMIC N+3 geometry summary,Golem.de,2025-12,2026-05-21,media quoting teardown,2,Public web source; cite URL; do not reproduce large excerpts.,"Secondary article quoting TechInsights-style SMIC N+2/N+3 CPP, M0/M2, cell height and density values."
src_ims_45beb8a7,https://www.ims.uni-hannover.de/fileadmin/ims/aktivitaeten/Tensilica_Day/2018/6_slides_globalfoundries_teepe_td18.pdf,GlobalFoundries / Tensilica Day 2018 FDX slide deck,GlobalFoundries via Leibniz Universität Hannover,2018,2026-05-21,conference/deck,2,Public web source; cite URL; do not reproduce large excerpts.,Public slide deck used as a secondary source for GF 22FDX reference-flow/library context.
src_intel_official_foundry_process,https://www.intel.com/content/www/us/en/foundry/process.html,Intel Foundry Process Technology,Intel Foundry,official web page,2026-05-21,official,5,Public web source; cite URL; do not reproduce large excerpts.,"Official 18A/RibbonFET/PowerVia, PPA and packaging compatibility statements."
src_kurnal_b1cde8c1,https://www.kurnal.com/semiconductor-node-comparison-calculator,Semiconductor Node Comparison Calculator,Kurnal,accessed 2026,2026-05-21,calculator/aggregator,1,Public web source; cite URL; do not reproduce large excerpts.,Calculator/source cross-check only; not preferred over primary/teardown source.
src_manual_unknown_prior_v03,,Prior v0.3 manual note,internal,2026-05-21,2026-05-21,assumption,1,internal note,Created to avoid missing source_id; review required.
src_news_c4a2d7c0,https://news.samsungsemiconductor.com/global/samsung-begins-chip-production-using-3nm-process-technology-with-gaa-architecture/,Samsung Begins Chip Production Using 3nm Process Technology With GAA Architecture,Samsung Newsroom,2022-06-30,2026-05-21,official,5,Public web source; cite URL; do not reproduce large excerpts.,Official Samsung announcement of 3nm GAA/MBCFET production and relative PPA claims.
src_racyics_gf22fdx_cells_2025,https://racyics.de/wp-content/uploads/2025/04/Racyics_ABX_Standard_Cell_Libraries.pdf,Racyics ABX Standard Cell Libraries for GlobalFoundries 22FDX,Racyics,2025,2026-05-21,third-party IP,3,Public web source; cite URL; do not reproduce large excerpts.,Lists GF 22FDX 116CPP 8T and 9T CNRX standard-cell libraries and M2/M1 access information.
src_samsung_official_logic_node,https://semiconductor.samsung.com/foundry/process-technology/logic-node/,Samsung Foundry Logic Node,Samsung Foundry,official web page,2026-05-21,official,5,Public web source; cite URL; do not reproduce large excerpts.,"Official Samsung logic node roadmap, SF4 200nm cell-height claim, SF3/SF2 GAA descriptions."
src_semianalysis_tsmc_n3_2022,https://newsletter.semianalysis.com/p/tsmcs-3nm-conundrum-does-it-even,TSMC’s 3nm Conundrum: Does It Even Make Sense?,SemiAnalysis,2022-08,2026-05-21,media/teardown-analysis,4,Public web source; cite URL; do not reproduce large excerpts.,"Public analysis of TSMC N5/N4/N3 geometry, metal pitch, SRAM and FinFlex tradeoffs."
src_semiconductor_ab45e548,https://semiconductor.samsung.com/news-events/tech-blog/3nm-gaa-mbcfet-unrivaled-sram-design-flexibility/,3nm GAA MBCFET SRAM Design Flexibility,Samsung Semiconductor,official tech blog,2026-05-21,official,5,Public web source; cite URL; do not reproduce large excerpts.,Samsung explanation that MBCFET channel width is adjustable and can improve SRAM design flexibility.
src_semiconductor_b166fee5,https://semiconductor.samsung.com/news-events/tech-blog/samsung-foundry-showcases-advanced-technology-and-solutions/,Samsung Foundry Showcases Advanced Technology and Solutions,Samsung Semiconductor,official tech blog,2026-05-21,official,5,Public web source; cite URL; do not reproduce large excerpts.,Official roadmap/technology blog including SF2/SF3 positioning and xHD library mention.
src_semiwiki_3fcc35af,https://semiwiki.com/wp-content/uploads/2018/10/pb-14lpp-1.pdf,GlobalFoundries 14LPP process brief,GlobalFoundries / SemiWiki hosted PDF,2018,2026-05-21,foundry brief / hosted PDF,2,Public web source; cite URL; do not reproduce large excerpts.,Public process brief used as a secondary source for GF 14LPP; exact standard-cell rows still partly estimated.
src_semiwiki_forum_smic_n3_2025,https://semiwiki.com/forum/threads/smic-n-3-confirmed-kirin-9030-analysis-reveals-how-close-smic-is-to-5nm.24183/,SMIC N+3 forum discussion,SemiWiki Forum,2025,2026-05-21,social/forum,1,Public web source; cite URL; do not reproduce large excerpts.,Forum/social lead quoting G57H228 / G63H252-style SMIC geometry; low confidence until validated against primary teardown.
src_semiwiki_intel4_vlsi2022,https://semiwiki.com/semiconductor-manufacturers/intel/314047-intel-4-presented-at-vlsi/,Intel 4 Presented at VLSI,SemiWiki,2022,2026-05-21,media/conference-analysis,4,Public web source; cite URL; do not reproduce large excerpts.,"Public analysis of Intel 4 CPP, fin pitch, M0 pitch, cell height and SRAM."
src_semiwiki_intel_14_10_2016,https://semiwiki.com/semiconductor-manufacturers/intel/6713-14nm-16nm-10nm-and-7nm-what-we-know-now/,"14nm, 16nm, 10nm and 7nm: What We Know Now",SemiWiki,2016,2026-05-21,media/aggregator,2,Public web source; cite URL; do not reproduce large excerpts.,Historical public estimates of Intel 14nm/10nm geometry and density.
src_semiwiki_samsung_foundry_2019,https://semiwiki.com/semiconductor-manufacturers/samsung-foundry/259664-samsung-foundry-update-2019/,Samsung Foundry Update 2019,SemiWiki,2019,2026-05-21,media/conference-analysis,4,Public web source; cite URL; do not reproduce large excerpts.,"Public table for Samsung 7LPP/6LPP/5LPE/4LPE CPP, cell height, M3 pitch, tracks and reported density."
src_semiwiki_techinsights_smic_n2_2022,https://semiwiki.com/semiconductor-services/techinsights/317732-does-smic-have-7nm-and-if-so-what-does-it-mean/,Does SMIC Have 7nm and If So What Does It Mean?,SemiWiki / TechInsights discussion,2022,2026-05-21,media/teardown-analysis,4,Public web source; cite URL; do not reproduce large excerpts.,Public discussion of TechInsights’ SMIC N+2 findings; confirms 7nm-class but not all exact pitches in free text.
src_teamvlsi_tsmc_nodes_2021,https://teamvlsi.com/2021/09/tsmc-7nm-16nm-and-28nm-technology-node-comparisons.html,"TSMC 7nm, 16nm and 28nm Technology Node Comparisons",TeamVLSI,2021-09,2026-05-21,aggregator,2,Public web source; cite URL; do not reproduce large excerpts.,"Public compilation of CPP, fin pitch, minimum metal pitch, cell height, SRAM and density for TSMC N28/N16/N7."
src_techinsights_6b7047cb,https://www.techinsights.com/blog/examination-smic-n2-process-huawei-mate-60-pro,Examination of SMIC N+2 Process in Huawei Mate 60 Pro,TechInsights,2023,2026-05-21,teardown,4,Public web source; cite URL; do not reproduce large excerpts.,Free TechInsights summary confirms SMIC N+2 and describes measured categories; detailed dimensions gated.
src_techinsights_b80be684,https://www.techinsights.com/blog/sf3-2nd-gen-3nm-gaa-sram-bit-cells-overview-samsung-exynos-w1000-processor,SF3 2nd Gen 3nm GAA SRAM Bit Cells Overview,TechInsights,2024/2025,2026-05-21,teardown,4,Public web source; cite URL; do not reproduce large excerpts.,TechInsights teardown context for Samsung SF3/Exynos W1000 SRAM bitcell; exact free details limited.
src_techinsights_samsung_7lpp_exynos990,https://www.techinsights.com/blog/techinsights-confirms-samsungs-true-7lpp-process-samsung-exynos-990,TechInsights confirms Samsung true 7LPP process,TechInsights,2020,2026-05-21,teardown,4,Public web source; cite URL; do not reproduce large excerpts.,Teardown context for Exynos 990/Samsung 7LPP observed cell and fin configurations.
src_techinsights_smic_n3_2025,https://www.techinsights.com/blog/smic-n3-confirmed-kirin-9030-analysis-reveals-how-close-smic-5nm,SMIC N+3 Confirmed: Kirin 9030 Analysis,TechInsights,2025-12-11,2026-05-21,teardown,4,Public web source; cite URL; do not reproduce large excerpts.,Confirms Kirin 9030 on SMIC N+3 as scaled 7nm-class evolution; exact geometry in paid content.
src_tomshardware_df5e2ec3,https://www.tomshardware.com/news/samsung-3nm-isscc-2021-gaafet-3gae,Samsung Details 3nm GAA at ISSCC,Tom’s Hardware,2021,2026-05-21,media/conference-analysis,4,Public web source; cite URL; do not reproduce large excerpts.,Conference-media source for Samsung 3GAE/SRAM/public relative information.
src_tomshardware_intel_18a_vlsi2025,https://www.tomshardware.com/tech-industry/semiconductors/intel-details-18a-process-technology-boosts-performance-by-25-percent-or-lowers-power-consumption-by-36-percent,Intel Details 18A Process Technology,Tom’s Hardware,2025,2026-05-21,media/conference-analysis,4,Public web source; cite URL; do not reproduce large excerpts.,Reports Intel 18A VLSI 2025 details including HP 180nm and HD 160nm cell heights and SRAM bitcell.
src_tsmc_finflex_2022,https://www.tsmc.com/english/news-events/blog-article-20220616,TSMC 3nm FinFlex Technology,TSMC,2022-06-16,2026-05-21,official,5,Public web source; cite URL; do not reproduce large excerpts.,"Official explanation of N3 FinFlex 3-2, 2-2 and 2-1 configuration tradeoffs."
src_tsmc_official_a16,https://www.tsmc.com/english/dedicatedFoundry/technology/logic/l_A16,TSMC A16 Technology,TSMC,official web page,2026-05-21,official,5,Public web source; cite URL; do not reproduce large excerpts.,Official A16 nanosheet + Super Power Rail page.
src_tsmc_official_n2,https://www.tsmc.com/english/dedicatedFoundry/technology/logic/l_2nm,TSMC 2nm Technology,TSMC,official web page,2026-05-21,official,5,Public web source; cite URL; do not reproduce large excerpts.,Official TSMC N2/N2P nanosheet process page and roadmap statements.
src_tsmc_official_n7_n6,https://www.tsmc.com/english/dedicatedFoundry/technology/platform_DCE_N7_N6,TSMC N7/N6 Digital Consumer Electronics Platform,TSMC,official web page,2026-05-21,official,5,Public web source; cite URL; do not reproduce large excerpts.,Official N7/N6 family positioning; N6 uses more EUV and is N7-compatible.
src_tsmc_research_n2_sram_2025,https://research.tsmc.com/page/memory/4.html,TSMC Research: 2nm SRAM Cell,TSMC Research,2025,2026-05-21,official/paper,5,Public web source; cite URL; do not reproduce large excerpts.,Reports 0.021 µm² high-density SRAM bitcell and 38.1 Mb/mm² density for 2nm SRAM work.
src_umc_8c5da999,https://www.umc.com/en/News/press_release/Content/technology_related/20191202,UMC 14nm/FinFET foundation IP press release,UMC,2019-12-02,2026-05-21,official,5,Public web source; cite URL; do not reproduce large excerpts.,Official UMC/Faraday/Synopsys IP/platform availability context; no free CPP/CH.
src_umc_official_14nm,https://www.umc.com/en/Product/technologies/Detail/14nm,UMC 14nm Technology,UMC,official web page,2026-05-21,official,5,Public web source; cite URL; do not reproduce large excerpts.,Official 14nm process page; no public CPP/CH in free source.
src_unipd_gf22fdx_pdk_thesis,https://thesis.unipd.it/retrieve/189c293f-11e1-427e-a489-c99e4189347d/Brunello_Stefano.pdf,GF22FDX PDK / metal stack thesis,University thesis repository,academic thesis,2026-05-21,paper/thesis,2,Public web source; cite URL; do not reproduce large excerpts.,"Includes GF22FDX metal stack naming, M1/M2 double-patterning/coloring and 104CPP setup notes."
src_upc_gf22fdx_thesis,https://upcommons.upc.edu/server/api/core/bitstreams/6ebbd264-e6d8-4613-8c21-56defd200ee2/content,GF22FDX standard-cell setup thesis,UPC thesis repository,academic thesis,2026-05-21,paper/thesis,2,Public web source; cite URL; do not reproduce large excerpts.,Mentions GF22FDX library parameters including CPP options and 8T 104CPP use.
src_vlsi2017_gf22fdx_sram,https://archive.vlsisymposium.org/17web/files/VLSI2017_Tech_program.pdf?170531=,2017 VLSI Symposium Program,VLSI Symposium,2017,2026-05-21,conference,4,Public web source; cite URL; do not reproduce large excerpts.,Program references GF 22FDX SRAM bitcell information from VLSI 2017 work.
src_wccftech_21848d98,https://wccftech.com/intel-18a-process-node-25-percent-higher-frequency-36-percent-lower-power-vs-intel-3/,Intel 18A Process Node public summary,Wccftech,2025,2026-05-21,media,2,Public web source; cite URL; do not reproduce large excerpts.,Secondary media source for Intel 18A PPA summaries; prefer Intel official/Tom’s Hardware for core dataset.
src_wikichip_gf_12lp,https://en.wikichip.org/wiki/globalfoundries/12lp,GlobalFoundries 12LP,WikiChip,2018,2026-05-21,aggregator/analysis,3,Public web source; cite URL; do not reproduce large excerpts.,"12LP table with fin pitch, poly pitch, M2 pitch, 9T/7.5T cell heights and density estimate."
src_tsmc_official_n4p_2021,https://pr.tsmc.com/english/news/2874,"N4P Extends the Performance, Power Efficiency and Density of TSMC’s 5nm Family",TSMC,2021-10-26,2026-05-29,official,5,Public web source; cite URL; do not reproduce large excerpts.,"Official N4P announcement: +11% performance vs N5, +6% vs N4, +22% power efficiency and +6% transistor density vs N5; fewer masks / shorter cycle time."
src_tsmc_official_symposium_2023_n3p_n2,https://pr.tsmc.com/english/news/3021,TSMC Showcases New Technology Developments at 2023 North America Technology Symposium,TSMC,2023-04-26,2026-05-29,official,5,Public web source; cite URL; do not reproduce large excerpts.,"Official N3P/N3X/N2 roadmap claims: N3P H2 2024, +5% speed, -5-10% power, 1.04X chip density vs N3E; N3X H2 2025; N2 >1.15X chip density and 2025 production."
src_tomshardware_tsmc_n3p_2025,https://www.tomshardware.com/tech-industry/tsmcs-3nm-update-n3p-in-production-n3x-on-track,"TSMC’s 3nm update: N3P in production, N3X on track",Tom’s Hardware,2025,2026-05-29,media,4,Public web source; cite URL; do not reproduce large excerpts.,Reports N3P production started in Q4 2024 and describes N3P as an optical shrink of N3E with about 4% transistor-density improvement.
src_tomshardware_tsmc_n4c_2024,https://www.tomshardware.com/tech-industry/tsmc-readies-lower-cost-4nm-manufacturing-tech-up-to-85-cheaper,TSMC readies lower-cost 4nm manufacturing tech,Tom’s Hardware,2024-04-25,2026-05-29,media,4,Public web source; cite URL; do not reproduce large excerpts.,"Reports N4C in the N5/N4 family, with standard-cell and SRAM-cell redesign, fewer masks and up to 8.5% product-level cost reduction."
src_tomshardware_tsmc_n2_intel18a_sram_2024,https://www.tomshardware.com/tech-industry/tsmcs-n2-process-has-a-major-advantage-over-intels-18a-sram-density,TSMC’s N2 process has a major advantage over Intel’s 18A: SRAM density,Tom’s Hardware,2024-12,2026-05-29,media,3,Public web source; cite URL; do not reproduce large excerpts.,Convenient public table of SRAM bitcell and density values for Intel 4/18A and TSMC N3/N3E/N2; use cautiously where superseded by official/ISSCC data.
src_marklapedus_tsmc_intel_2nm_sram_2025,https://marklapedus.substack.com/p/intel-tsmc-tout-sram-breakthroughs,"Intel, TSMC tout SRAM breakthroughs",Mark LaPedus / Substack,2025,2026-05-29,media/conference-analysis,4,Public web source; cite URL; do not reproduce large excerpts.,Summarizes SRAM macro/array disclosures including TSMC 2nm 0.021um2 bitcell and 38.1Mb/mm2 macro density; useful for macro-vs-bitcell context.
src_researchgate_intel_18a_sram_2026,https://www.researchgate.net/publication/389171756_0021-um2_High-Density_SRAM_in_Intel_18A_RibbonFET_Technology_With_PowerVia_Backside_Power_Delivery,0.021-um2 High-Density SRAM in Intel 18A RibbonFET Technology With PowerVia Backside Power Delivery,IEEE / ResearchGate metadata,2026,2026-05-29,paper-metadata,4,Public web source; cite URL; do not reproduce large excerpts.,"Abstract-level source: Intel 18A HD SRAM HDC 0.021um2, HCC 0.023um2; array density up to 38.1Mb/mm2 and high-volume macro implementation 34.3Mb/mm2."
src_tomshardware_2nm_compare_techinsights_2025,https://www.tomshardware.com/tech-industry/intels-18a-and-tsmcs-n2-process-nodes-compared-intel-is-faster-but-tsmc-is-denser,Intel’s 18A and TSMC’s N2 process nodes compared,Tom’s Hardware / TechInsights summary,2025,2026-05-29,media/teardown-analysis,4,Public web source; cite URL; do not reproduce large excerpts.,"Summarizes TechInsights claims: TSMC N2 HD standard cell density ~313 MTr/mm2, Intel 18A HD ~238 MTr/mm2, Samsung SF2/SF3P ~231 MTr/mm2."
src_samsung_official_logic_node_2026_update,https://semiconductor.samsung.com/foundry/process-technology/logic-node/,Samsung Foundry Logic Node roadmap,Samsung Foundry,official web page / accessed 2026-05,2026-05-29,official,5,Public web source; cite URL; do not reproduce large excerpts.,"Official Samsung roadmap page: SF3/SF2 GAA/MBCFET descriptions, SF2 mass-production timing, reduced cell-height and SF2P late-2026 roadmap statements."
src_samsung_official_3nm_gaa_2022,https://news.samsung.com/global/samsung-begins-chip-production-using-3nm-process-technology-with-gaa-architecture,Samsung Begins Chip Production Using 3nm Process Technology With GAA Architecture,Samsung Newsroom,2022-06-30,2026-05-29,official,5,Public web source; cite URL; do not reproduce large excerpts.,"Official 3nm GAA production announcement: first-generation 3nm vs 5nm targets up to -45% power, +23% performance, -16% area; second-generation 3nm targets -50% power, +30% performance, -35% area."
src_wikipedia_3nm_process_2026,https://en.wikipedia.org/wiki/3_nm_process,3 nm process public comparison table,Wikipedia,accessed 2026-05,2026-05-29,aggregator,1,Public web source; cite URL; do not reproduce large excerpts.,Low-confidence public aggregator used only as a cross-check for rough Samsung SF3/TSMC N3P density rows when primary public CPP/CH data is unavailable.
src_wikipedia_2nm_process_2026,https://en.wikipedia.org/wiki/2_nm_process,2 nm process public comparison table,Wikipedia,accessed 2026-05,2026-05-29,aggregator,1,Public web source; cite URL; do not reproduce large excerpts.,Low-confidence public aggregator used only as a cross-check for rough Samsung SF2 density rows; do not treat as primary source.
src_trendforce_rapidus_2hp_density_2025,https://www.trendforce.com/news/2025/09/01/news-rapidus-2hp-reportedly-surpasses-intel-18a-logic-density-impacted-by-bspdn-rivals-tsmc/,"Rapidus 2HP Reportedly Surpasses Intel 18A Logic Density Impacted by BSPDN, Rivals TSMC",TrendForce News,2025-09-01,2026-05-29,media/aggregator citing Wccftech/X leak,2,public webpage,"Reports Rapidus 2HP 237.31 MTr/mm2, TSMC N2 236.17 MTr/mm2, Intel 18A 184.21 MTr/mm2; Rapidus/TSMC HD library H138/G45 claim; not official foundry PDK data."
src_wccftech_rapidus_2hp_density_2025,https://wccftech.com/rapidus-2nm-2hp-process-will-compete-with-tsmc-n2-in-transistor-density/,Rapidus 2nm 2HP Process Will Reportedly Compete With TSMC N2 in Logic Density,Wccftech,2025-08-31,2026-05-29,media citing X/social leak,2,public webpage,Reports Rapidus 2HP 237.31 MTr/mm2 using HD cell height 138 and G45 pitch; TSMC N2 236.17; Intel 18A 184.21.
src_rapidus_official_2nm_gaa_2025,https://www.rapidus.inc/news_topics/news-info/rapidus-achieves-significant-milestone-at-its-state-of-the-art-foundry-with-prototyping-of-leading-edge-2nm-gaa-transistors-2/,Rapidus Achieves Significant Milestone with Prototyping of Leading-Edge 2nm GAA Transistors,Rapidus,2025-07-18,2026-05-29,official,5,public webpage,"Officially confirms 2nm GAA transistor prototyping, EUV, PDK to advance customers by Q1 2026, and mass production target in 2027; no CPP/CH or density disclosed."
src_semiwiki_forum_2nm_leaked_density_2025,https://semiwiki.com/forum/threads/2nm-leaked-logic-density-comparison-from-x-rapidus-tsmc-intel-samsung.23528/,"2nm Leaked Logic Density Comparison from X: Rapidus, TSMC, Intel, Samsung",SemiWiki Forum,2025-09-03,2026-05-29,social/forum aggregation,1,public forum,"Forum discussion lists Bohr-style densities including TSMC N2 HD H130G48 ~237 and Intel 18A H160G50 ~185; low confidence, useful only for comparison leads."
